"Eg(keV)","Ig(%)","Decay mode","Half life","unit","Parent"
540.3,0.0000050,"a",1.592E+5,"y","233U",
545.1,0.0000023,"a",1.592E+5,"y","233U",
562.8,0,"a",1.592E+5,"y","233U",
569.4,0.0000036,"a",1.592E+5,"y","233U",
578.5,0.0000049,"a",1.592E+5,"y","233U",
620.9,0.0000022,"a",1.592E+5,"y","233U",
657.0,0.0000028,"a",1.592E+5,"y","233U",
707.5,0.0000027,"a",1.592E+5,"y","233U",
710.8,0,"a",1.592E+5,"y","233U",
826.3,0,"a",1.592E+5,"y","233U",
867.9,0.0000020,"a",1.592E+5,"y","233U",
920.0,0,"a",1.592E+5,"y","233U",
1003.0,0.0000080,"a",1.592E+5,"y","233U",
1055.0,0,"a",1.592E+5,"y","233U",
1119.0,0.0000080,"a",1.592E+5,"y","233U",
11.1,0,"a",7340,"y","229Th",
17.36,0.18,"a",7340,"y","229Th",
21.58,0.007,"a",7340,"y","229Th",
23.6,0.00123,"a",7340,"y","229Th",
25.39,0.008,"a",7340,"y","229Th",
27.50,0.035,"a",7340,"y","229Th",
30.3,0,"a",7340,"y","229Th",
30.3,0.041,"a",7340,"y","229Th",
31.10,0.84,"a",7340,"y","229Th",
31.50,1.19,"a",7340,"y","229Th",
37.8,0.0033,"a",7340,"y","229Th",
42.3,0.082,"a",7340,"y","229Th",
42.82,0.164,"a",7340,"y","229Th",
43.990,0.66,"a",7340,"y","229Th",
46.52,0.0205,"a",7340,"y","229Th",
49.75,0.0215,"a",7340,"y","229Th",
50.99,0.017,"a",7340,"y","229Th",
53.2,0,"a",7340,"y","229Th",
53.75,0.011,"a",7340,"y","229Th",
55.11,0.0027,"a",7340,"y","229Th",
56.518,0.287,"a",7340,"y","229Th",
63.7,0.0051,"a",7340,"y","229Th",
68.09,0.069,"a",7340,"y","229Th",
68.8,0,"a",7340,"y","229Th",
68.83,0.136,"a",7340,"y","229Th",
72.739,0.144,"a",7340,"y","229Th",
75.09,0.61,"a",7340,"y","229Th",
75.3,0,"a",7340,"y","229Th",
77.63,0.045,"a",7340,"y","229Th",
78.3,0.0082,"a",7340,"y","229Th",
86.25,1.33,"a",7340,"y","229Th",
86.40,2.57,"a",7340,"y","229Th",
88.43,0.027,"a",7340,"y","229Th",
94.73,0.267,"a",7340,"y","229Th",
94.92,0.013,"a",7340,"y","229Th",
101.1,0.018,"a",7340,"y","229Th",
104.6,0.009,"a",7340,"y","229Th",
107.108,0.81,"a",7340,"y","229Th",
109.2,0.044,"a",7340,"y","229Th",
110.332,0.124,"a",7340,"y","229Th",
115.3,0.028,"a",7340,"y","229Th",
115.98,0.017,"a",7340,"y","229Th",
117.99,0.013,"a",7340,"y","229Th",
119.98,0.051,"a",7340,"y","229Th",
123.193,0.151,"a",7340,"y","229Th",
124.55,0.69,"a",7340,"y","229Th",
124.65,0.74,"a",7340,"y","229Th",
126.4,0.021,"a",7340,"y","229Th",
126.5,0.011,"a",7340,"y","229Th",
129.04,0.016,"a",7340,"y","229Th",
131.926,0.336,"a",7340,"y","229Th",
132.6,0,"a",7340,"y","229Th",
134.2,0.0031,"a",7340,"y","229Th",
134.2,0.009,"a",7340,"y","229Th",
135.71,0,"a",7340,"y","229Th",
136.990,1.18,"a",7340,"y","229Th",
140.3,0,"a",7340,"y","229Th",
142.0,0.011,"a",7340,"y","229Th",
142.962,0.404,"a",7340,"y","229Th",
146.8,0.016,"a",7340,"y","229Th",
147.64,0.205,"a",7340,"y","229Th",
148.15,0.88,"a",7340,"y","229Th",
150.04,0.06,"a",7340,"y","229Th",
151.6,0.026,"a",7340,"y","229Th",
154.336,0.770,"a",7340,"y","229Th",
156.409,1.19,"a",7340,"y","229Th",
158.42,0.048,"a",7340,"y","229Th",
160.6,0,"a",7340,"y","229Th",
161.6,0,"a",7340,"y","229Th",
163.34,0.021,"a",7340,"y","229Th",
165.7,0,"a",7340,"y","229Th",
166.976,0.205,"a",7340,"y","229Th",
167.45,0.051,"a",7340,"y","229Th",
169.09,0,"a",7340,"y","229Th",
171.5,0.18,"a",7340,"y","229Th",
171.75,0.041,"a",7340,"y","229Th",
172.926,0.113,"a",7340,"y","229Th",
174.22,0,"a",7340,"y","229Th",
174.22,0.009,"a",7340,"y","229Th",
174.82,0.031,"a",7340,"y","229Th",
179.757,0.197,"a",7340,"y","229Th",
183.928,0.142,"a",7340,"y","229Th",
190.2,0,"a",7340,"y","229Th",
193.509,4.4,"a",7340,"y","229Th",
194.3,0.031,"a",7340,"y","229Th",
200.807,0.069,"a",7340,"y","229Th",
204.690,0.60,"a",7340,"y","229Th",
210.15,0.19,"a",7340,"y","229Th",
210.853,2.8,"a",7340,"y","229Th",
215.100,0.137,"a",7340,"y","229Th",
215.4,0,"a",7340,"y","229Th",
218.154,0.185,"a",7340,"y","229Th",
221.22,0.023,"a",7340,"y","229Th",
225.149,0.072,"a",7340,"y","229Th",
236.249,0.174,"a",7340,"y","229Th",
242.4,0.094,"a",7340,"y","229Th",
243.5,0,"a",7340,"y","229Th",
252.43,0.095,"a",7340,"y","229Th",
259.08,0.034,"a",7340,"y","229Th",
261.0,0,"a",7340,"y","229Th",
277.48,0,"a",7340,"y","229Th",
289.50,0.006,"a",7340,"y","229Th",
292.91,0,"a",7340,"y","229Th",
296.2,0.012,"a",7340,"y","229Th",
40.09,30,"b-",14.9,"d","225Ra",
10.6,0,"a",10.0,"d","225Ac",
26.0,0.00164,"a",10.0,"d","225Ac",
36.65,0.0174,"a",10.0,"d","225Ac",
38.53,0.0131,"a",10.0,"d","225Ac",
46.24,0.0044,"a",10.0,"d","225Ac",
49.09,0.0076,"a",10.0,"d","225Ac",
57.75,0.0044,"a",10.0,"d","225Ac",
62.95,0.447,"a",10.0,"d","225Ac",
64.28,0.033,"a",10.0,"d","225Ac",
69.79,0.0054,"a",10.0,"d","225Ac",
71.70,0.0142,"a",10.0,"d","225Ac",
73.5,0.0098,"a",10.0,"d","225Ac",
73.86,0.315,"a",10.0,"d","225Ac",
74.9,0.0174,"a",10.0,"d","225Ac",
82.6,0.16,"a",10.0,"d","225Ac",
87.41,0.254,"a",10.0,"d","225Ac",
94.90,0.095,"a",10.0,"d","225Ac",
96.15,0.031,"a",10.0,"d","225Ac",
99.63,0.62,"a",10.0,"d","225Ac",
99.91,1.01,"a",10.0,"d","225Ac",
100.96,0.070,"a",10.0,"d","225Ac",
103.46,0.0044,"a",10.0,"d","225Ac",
108.42,0.251,"a",10.0,"d","225Ac",
111.54,0.317,"a",10.0,"d","225Ac",
112.8,0.0022,"a",10.0,"d","225Ac",
119.85,0.020,"a",10.0,"d","225Ac",
119.87,0.054,"a",10.0,"d","225Ac",
123.75,0.072,"a",10.0,"d","225Ac",
124.82,0.0262,"a",10.0,"d","225Ac",
126.15,0.0076,"a",10.0,"d","225Ac",
129.25,0.0033,"a",10.0,"d","225Ac",
133.64,0.0142,"a",10.0,"d","225Ac",
134.86,0.031,"a",10.0,"d","225Ac",
138.2,0.022,"a",10.0,"d","225Ac",
144.7,0.0005,"a",10.0,"d","225Ac",
145.17,0.146,"a",10.0,"d","225Ac",
150.04,0.80,"a",10.0,"d","225Ac",
152.63,0.0174,"a",10.0,"d","225Ac",
153.92,0.187,"a",10.0,"d","225Ac",
157.26,0.360,"a",10.0,"d","225Ac",
168.86,0.0185,"a",10.0,"d","225Ac",
170.98,0.008,"a",10.0,"d","225Ac",
178.36,0.0142,"a",10.0,"d","225Ac",
179.8,0.0076,"a",10.0,"d","225Ac",
186.38,0.020,"a",10.0,"d","225Ac",
188.00,0.54,"a",10.0,"d","225Ac",
195.78,0.163,"a",10.0,"d","225Ac",
197.77,0,"a",10.0,"d","225Ac",
197.77,0.060,"a",10.0,"d","225Ac",
198.7,0.024,"a",10.0,"d","225Ac",
216.90,0.32,"a",10.0,"d","225Ac",
224.64,0.096,"a",10.0,"d","225Ac",
231.3,0.0022,"a",10.0,"d","225Ac",
