# exported by fityk 0.8.7
#1-Zn:x	1-Zn:y	1-Zn:s	1-Zn:F(x)	1-Zn:%_1(x)	1-Zn:%_2(x)	1-Zn:%_3(x)	1-Zn:a
3.39	34	5.83095	5.06523e-023	6.92201e-105	7.09707e-165	5.06523e-023	1
3.4	17	4.12311	7.43861e-023	1.79813e-104	2.4804e-164	7.43861e-023	1
3.42	37	6.08276	1.59809e-022	1.20671e-103	3.01128e-163	1.59809e-022	1
3.43	37	6.08276	2.33784e-022	3.11742e-103	1.04601e-162	2.33784e-022	1
3.45	27	5.19615	4.9839e-022	2.06912e-102	1.25445e-161	4.9839e-022	1
3.47	33	5.74456	1.05703e-021	1.36328e-101	1.49221e-160	1.05703e-021	1
3.48	31	5.56776	1.53641e-021	3.48968e-101	5.13084e-160	1.53641e-021	1
3.5	30	5.47723	3.23348e-021	2.27402e-100	6.02908e-159	3.23348e-021	1
3.51	30	5.47723	4.6818e-021	5.78895e-100	2.06041e-158	4.6818e-021	1
3.53	45	6.7082	9.77737e-021	3.73093e-099	2.39169e-157	9.77737e-021	1
3.54	25	5	1.41022e-020	9.44559e-099	8.12368e-157	1.41022e-020	1
3.56	40	6.32456	2.92242e-020	6.02083e-098	9.31517e-156	2.92242e-020	1
3.58	38	6.16441	6.02506e-020	3.8097e-097	1.05947e-154	6.02506e-020	1
3.59	29	5.38516	8.63439e-020	9.55675e-097	3.56212e-154	8.63439e-020	1
3.61	29	5.38516	1.76643e-019	5.98073e-096	4.00214e-153	1.76643e-019	1
3.62	34	5.83095	2.52168e-019	1.49203e-095	1.33739e-152	2.52168e-019	1
3.64	30	5.47723	5.11917e-019	9.23491e-095	1.48433e-151	5.11917e-019	1
3.66	22	4.69042	1.03389e-018	5.67405e-094	1.63403e-150	1.03389e-018	1
3.67	24	4.89898	1.46647e-018	1.40257e-093	5.40502e-150	1.46647e-018	1
3.69	39	6.245	2.93895e-018	8.52307e-093	5.87781e-149	2.93895e-018	1
3.7	19	4.3589	4.15253e-018	2.09524e-092	1.9324e-148	4.15253e-018	1
3.72	36	6	8.25806e-018	1.25926e-091	2.07588e-147	8.25806e-018	1
3.73	37	6.08276	1.16231e-017	3.07863e-091	6.7831e-147	1.16231e-017	1
3.75	32	5.65685	2.29368e-017	1.82998e-090	7.19817e-146	2.29368e-017	1
3.77	24	4.89898	4.50307e-017	1.0798e-089	7.5766e-145	4.50307e-017	1
3.78	25	5	6.29734e-017	2.61574e-089	2.4506e-144	6.29734e-017	1
3.8	24	4.89898	1.22681e-016	1.52652e-088	2.54808e-143	1.22681e-016	1
3.81	34	5.83095	1.70903e-016	3.67754e-088	8.19133e-143	1.70903e-016	1
