# exported by fityk 0.8.7
#6-EdelStahl:x	6-EdelStahl:y	6-EdelStahl:s	6-EdelStahl:F(x)	6-EdelStahl:%_1(x)	6-EdelStahl:%_2(x)	6-EdelStahl:%_4(x)	6-EdelStahl:a
6.01	862	29.3598	934.599	934.598	0.000473169	2.24055e-011	1
6.03	998	31.5911	1049.11	1049.11	0.000788007	1.45236e-011	1
6.04	1123	33.5112	1108.78	1108.78	0.00101323	1.16788e-011	1
6.06	1203	34.6843	1232.36	1232.35	0.00166302	7.53307e-012	1
6.08	1256	35.4401	1360.68	1360.68	0.00270319	4.84301e-012	1
6.09	1618	40.2244	1426.24	1426.23	0.00343388	3.87838e-012	1
6.11	1349	36.7287	1559.22	1559.22	0.00550099	2.48112e-012	1
6.12	1736	41.6653	1626.26	1626.25	0.00693728	1.98203e-012	1
6.14	1756	41.9047	1760.35	1760.34	0.0109528	1.26171e-012	1
6.16	1911	43.715	1892.95	1892.94	0.0171256	8.00534e-013	1
6.17	1974	44.4297	1958.1	1958.07	0.0213366	6.36874e-013	1
6.19	1963	44.3058	2084.82	2084.79	0.0328795	4.02093e-013	1
6.2	2275	47.697	2145.91	2145.87	0.0406673	3.191e-013	1
6.22	2251	47.4447	2262.26	2262.2	0.0617624	2.00472e-013	1
6.23	2263	47.571	2317.03	2316.96	0.0758373	1.58702e-013	1
