# exported by fityk 0.8.7
#3-Cu:x	3-Cu:y	3-Cu:s	3-Cu:F(x)	3-Cu:%_1(x)	3-Cu:%_2(x)	3-Cu:a
3.21	18	4.24264	2.18912e-088	2.18912e-088	1.06997e-156	1
3.23	29	5.38516	1.26283e-087	1.26283e-087	1.40904e-155	1
3.24	29	5.38516	3.02476e-087	3.02476e-087	5.09582e-155	1
3.26	13	3.60555	1.72581e-086	1.72581e-086	6.61952e-154	1
3.28	20	4.47214	9.77484e-086	9.77484e-086	8.5208e-153	1
3.29	24	4.89898	2.31993e-085	2.31993e-085	3.04665e-152	1
3.31	28	5.2915	1.29962e-084	1.29962e-084	3.86846e-151	1
3.32	18	4.24264	3.06755e-084	3.06755e-084	1.37376e-150	1
3.34	34	5.83095	1.69964e-083	1.69964e-083	1.72063e-149	1
3.36	27	5.19615	9.34842e-083	9.34842e-083	2.13553e-148	1
3.37	30	5.47723	2.18642e-082	2.18642e-082	7.49774e-148	1
3.39	22	4.69042	1.18943e-081	1.18943e-081	9.1793e-147	1
3.4	23	4.79583	2.76661e-081	2.76661e-081	3.20085e-146	1
3.42	27	5.19615	1.48859e-080	1.48859e-080	3.8655e-145	1
3.43	24	4.89898	3.44347e-080	3.44347e-080	1.33873e-144	1
3.45	19	4.3589	1.83252e-079	1.83252e-079	1.59475e-143	1
3.47	17	4.12311	9.68095e-079	9.68095e-079	1.88251e-142	1
3.48	22	4.69042	2.21901e-078	2.21901e-078	6.44576e-142	1
3.5	23	4.79583	1.15945e-077	1.15945e-077	7.50549e-141	1
3.51	24	4.89898	2.64304e-077	2.64304e-077	2.55239e-140	1
3.53	28	5.2915	1.3659e-076	1.3659e-076	2.93166e-139	1
3.54	21	4.58258	3.09659e-076	3.09659e-076	9.90175e-139	1
3.56	26	5.09902	1.58279e-075	1.58279e-075	1.12186e-137	1
3.58	18	4.24264	8.03119e-075	8.03119e-075	1.25953e-136	1
3.59	23	4.79583	1.80411e-074	1.80411e-074	4.2059e-136	1
3.61	23	4.79583	9.05407e-074	9.05407e-074	4.65789e-135	1
3.62	31	5.56776	2.02274e-073	2.02274e-073	1.54479e-134	1
3.64	24	4.89898	1.00402e-072	1.00402e-072	1.68757e-133	1
3.66	22	4.69042	4.94725e-072	4.94725e-072	1.82682e-132	1
3.67	19	4.3589	1.09517e-071	1.09517e-071	5.99e-132	1
3.69	22	4.69042	5.33732e-071	5.33732e-071	6.39619e-131	1
3.7	23	4.79583	1.17504e-070	1.17504e-070	2.08297e-130	1
3.72	14	3.74166	5.66395e-070	5.66395e-070	2.19402e-129	1
3.73	22	4.69042	1.24011e-069	1.24011e-069	7.09632e-129	1
3.75	18	4.24264	5.91222e-069	5.91222e-069	7.37311e-128	1
3.77	27	5.19615	2.79807e-068	2.79807e-068	7.59117e-127	1
3.78	29	5.38516	6.0704e-068	6.0704e-068	2.42747e-126	1
3.8	26	5.09902	2.84151e-067	2.84151e-067	2.46532e-125	1
3.81	31	5.56776	6.13085e-067	6.13085e-067	7.82977e-125	1
3.83	18	4.24264	2.83842e-066	2.83842e-066	7.84387e-124	1
3.85	23	4.79583	1.30451e-065	1.30451e-065	7.78669e-123	1
3.86	32	5.65685	2.78894e-065	2.78894e-065	2.445e-122	1
3.88	30	5.47723	1.26775e-064	1.26775e-064	2.39422e-121	1
3.89	31	5.56776	2.69549e-064	2.69549e-064	7.46657e-121	1
3.91	28	5.2915	1.21187e-063	1.21187e-063	7.21218e-120	1
3.92	29	5.38516	2.56255e-063	2.56255e-063	2.23385e-119	1
3.94	32	5.65685	1.1395e-062	1.1395e-062	2.12844e-118	1
3.96	45	6.7082	5.03006e-062	5.03006e-062	2.0096e-117	1
3.97	34	5.83095	1.05392e-061	1.05392e-061	6.15388e-117	1
3.99	34	5.83095	4.60141e-061	4.60141e-061	5.73137e-116	1
4	26	5.09902	9.58824e-061	9.58824e-061	1.74313e-115	1
4.02	37	6.08276	4.14043e-060	4.14043e-060	1.6014e-114	1
4.04	39	6.245	1.77487e-059	1.77487e-059	1.45785e-113	1
4.05	34	5.83095	3.66467e-059	3.66467e-059	4.38362e-113	1
4.07	48	6.9282	1.55375e-058	1.55375e-058	3.93647e-112	1
4.08	38	6.16441	3.19051e-058	3.19051e-058	1.1756e-111	1
4.1	37	6.08276	1.33792e-057	1.33792e-057	1.04134e-110	1
4.11	56	7.48331	2.73226e-057	2.73226e-057	3.08871e-110	1
4.13	55	7.4162	1.13322e-056	1.13322e-056	2.69882e-109	1
4.15	46	6.78233	4.6658e-056	4.6658e-056	2.33674e-108	1
4.16	57	7.54983	9.44142e-056	9.44142e-056	6.85244e-108	1
4.18	45	6.7082	3.84478e-055	3.84478e-055	5.85253e-107	1
4.19	51	7.14143	7.73738e-055	7.73738e-055	1.70455e-106	1
4.21	49	7	3.11639e-054	3.11639e-054	1.43605e-105	1
4.23	50	7.07107	1.24602e-053	1.24602e-053	1.19887e-104	1
4.24	30	5.47723	2.48467e-053	2.48467e-053	3.45213e-104	1
4.26	49	7	9.82576e-053	9.82576e-053	2.84283e-103	1
4.27	47	6.85565	1.94859e-052	1.94859e-052	8.13012e-103	1
4.29	41	6.40312	7.62154e-052	7.62154e-052	6.60422e-102	1
4.3	57	7.54983	1.50317e-051	1.50317e-051	1.87586e-101	1
4.32	54	7.34847	5.81507e-051	5.81507e-051	1.50309e-100	1
4.34	27	5.19615	2.23314e-050	2.23314e-050	1.19347e-099	1
4.35	38	6.16441	4.36418e-050	4.36418e-050	3.35152e-099	1
4.37	56	7.48331	1.65763e-049	1.65763e-049	2.62501e-098	1
4.38	52	7.2111	3.22171e-049	3.22171e-049	7.32133e-098	1
4.4	41	6.40312	1.21031e-048	1.21031e-048	5.6564e-097	1
4.42	31	5.56776	4.51358e-048	4.51358e-048	4.33043e-096	1
4.43	52	7.2111	8.6924e-048	8.6924e-048	1.1941e-095	1
4.45	39	6.245	3.20619e-047	3.20619e-047	9.01768e-095	1
4.46	41	6.40312	6.14072e-047	6.14072e-047	2.46966e-094	1
4.48	45	6.7082	2.24023e-046	2.24023e-046	1.83971e-093	1
4.49	46	6.78233	4.26712e-046	4.26712e-046	5.00406e-093	1
4.51	33	5.74456	1.53968e-045	1.53968e-045	3.67704e-092	1
4.53	31	5.56776	5.51498e-045	5.51498e-045	2.67741e-091	1
4.54	24	4.89898	1.04089e-044	1.04089e-044	7.20011e-091	1
4.56	31	5.56776	3.68759e-044	3.68759e-044	5.17151e-090	1
4.57	47	6.85565	6.92177e-044	6.92177e-044	1.38125e-089	1
4.59	30	5.47723	2.42537e-043	2.42537e-043	9.78613e-089	1
4.6	25	5	4.52756e-043	4.52756e-043	2.59595e-088	1
4.62	35	5.91608	1.56909e-042	1.56909e-042	1.81425e-087	1
4.64	24	4.89898	5.3982e-042	5.3982e-042	1.25643e-086	1
4.65	32	5.65685	9.98515e-042	9.98515e-042	3.29516e-086	1
4.67	26	5.09902	3.39765e-041	3.39765e-041	2.25102e-085	1
4.68	31	5.56776	6.25024e-041	6.25024e-041	5.86337e-085	1
4.7	36	6	2.10351e-040	2.10351e-040	3.95105e-084	1
4.72	35	5.91608	7.02763e-040	7.02763e-040	2.63826e-083	1
4.73	32	5.65685	1.28099e-039	1.28099e-039	6.79418e-083	1
4.75	25	5	4.23287e-039	4.23287e-039	4.47512e-082	1
4.76	23	4.79583	7.67335e-039	7.67335e-039	1.1446e-081	1
4.78	21	4.58258	2.50782e-038	2.50782e-038	7.43674e-081	1
4.79	35	5.91608	4.52125e-038	4.52125e-038	1.88913e-080	1
4.81	35	5.91608	1.46148e-037	1.46148e-037	1.21075e-079	1
4.83	34	5.83095	4.68971e-037	4.68971e-037	7.68927e-079	1
4.84	24	4.89898	8.37775e-037	8.37775e-037	1.93115e-078	1
4.86	33	5.74456	2.65891e-036	2.65891e-036	1.20979e-077	1
4.87	27	5.19615	4.72386e-036	4.72386e-036	3.01767e-077	1
4.89	35	5.91608	1.48285e-035	1.48285e-035	1.86477e-076	1
4.91	28	5.2915	4.62074e-035	4.62074e-035	1.14188e-075	1
4.92	20	4.47214	8.13439e-035	8.13439e-035	2.81602e-075	1
4.94	23	4.79583	2.50706e-034	2.50706e-034	1.70095e-074	1
4.95	34	5.83095	4.38925e-034	4.38925e-034	4.16617e-074	1
4.97	30	5.47723	1.33799e-033	1.33799e-033	2.48231e-073	1
4.98	17	4.12311	2.32965e-033	2.32965e-033	6.03851e-073	1
5	31	5.56776	7.02389e-033	7.02389e-033	3.54903e-072	1
5.02	29	5.38516	2.10223e-032	2.10223e-032	2.06696e-071	1
5.03	27	5.19615	3.62692e-032	3.62692e-032	4.97116e-071	1
5.05	18	4.24264	1.07365e-031	1.07365e-031	2.85588e-070	1
5.06	25	5	1.84219e-031	1.84219e-031	6.82177e-070	1
5.08	37	6.08276	5.39367e-031	5.39367e-031	3.86582e-069	1
5.1	22	4.69042	1.56766e-030	1.56766e-030	2.17083e-068	1
5.11	22	4.69042	2.66527e-030	2.66527e-030	5.12666e-068	1
5.13	30	5.47723	7.66181e-030	7.66181e-030	2.83976e-067	1
5.14	21	4.58258	1.29548e-029	1.29548e-029	6.6607e-067	1
5.16	29	5.38516	3.68338e-029	3.68338e-029	3.63939e-066	1
5.17	35	5.91608	6.19384e-029	6.19384e-029	8.47809e-066	1
5.19	39	6.245	1.7418e-028	1.7418e-028	4.56949e-065	1
5.21	23	4.79583	4.86242e-028	4.86242e-028	2.4405e-064	1
5.22	21	4.58258	8.10188e-028	8.10188e-028	5.62081e-064	1
5.24	20	4.47214	2.23699e-027	2.23699e-027	2.96123e-063	1
5.25	27	5.19615	3.70688e-027	3.70688e-027	6.77365e-063	1
5.27	29	5.38516	1.0123e-026	1.0123e-026	3.52011e-062	1
5.29	26	5.09902	2.74428e-026	2.74428e-026	1.81272e-061	1
5.3	26	5.09902	4.50602e-026	4.50602e-026	4.09953e-061	1
5.32	27	5.19615	1.20819e-025	1.20819e-025	2.08243e-060	1
5.33	25	5	1.97293e-025	1.97293e-025	4.6774e-060	1
5.35	20	4.47214	5.23212e-025	5.23212e-025	2.3437e-059	1
5.36	34	5.83095	8.49702e-025	8.49702e-025	5.22837e-059	1
5.38	32	5.65685	2.22872e-024	2.22872e-024	2.5842e-058	1
5.4	22	4.69042	5.80312e-024	5.80312e-024	1.26569e-057	1
5.41	26	5.09902	9.33836e-024	9.33836e-024	2.79152e-057	1
5.43	19	4.3589	2.40492e-023	2.40492e-023	1.34866e-056	1
5.44	34	5.83095	3.84876e-023	3.84876e-023	2.95427e-056	1
5.46	33	5.74456	9.80334e-023	9.80334e-023	1.4079e-055	1
5.48	27	5.19615	2.47881e-022	2.47881e-022	6.64871e-055	1
5.49	37	6.08276	3.93083e-022	3.93083e-022	1.43991e-054	1
5.51	20	4.47214	9.83053e-022	9.83053e-022	6.7075e-054	1
5.52	27	5.19615	1.55035e-021	1.55035e-021	1.44274e-053	1
5.54	21	4.58258	3.83483e-021	3.83483e-021	6.62943e-053	1
5.55	20	4.47214	6.01466e-021	6.01466e-021	1.41623e-052	1
5.57	25	5	1.47147e-020	1.47147e-020	6.41925e-052	1
5.59	17	4.12311	3.57362e-020	3.57362e-020	2.8832e-051	1
5.6	26	5.09902	5.55384e-020	5.55384e-020	6.08954e-051	1
5.62	25	5	1.33406e-019	1.33406e-019	2.69796e-050	1
5.63	25	5	2.06191e-019	2.06191e-019	5.65948e-050	1
5.65	17	4.12311	4.89863e-019	4.89863e-019	2.47337e-049	1
5.67	29	5.38516	1.1553e-018	1.1553e-018	1.07113e-048	1
5.68	24	4.89898	1.76934e-018	1.76934e-018	2.22145e-048	1
5.7	36	6	4.1272e-018	4.1272e-018	9.48967e-048	1
5.71	34	5.83095	6.28614e-018	6.28614e-018	1.95467e-047	1
5.73	32	5.65685	1.45028e-017	1.45028e-017	8.23666e-047	1
5.74	23	4.79583	2.19681e-017	2.19681e-017	1.68502e-046	1
5.76	34	5.83095	5.01285e-017	5.01285e-017	7.00396e-046	1
5.78	27	5.19615	1.13552e-016	1.13552e-016	2.88485e-045	1
5.79	22	4.69042	1.70433e-016	1.70433e-016	5.83483e-045	1
5.81	40	6.32456	3.81843e-016	3.81843e-016	2.37066e-044	1
5.82	22	4.69042	5.69977e-016	5.69977e-016	4.76217e-044	1
5.84	41	6.40312	1.26303e-015	1.26303e-015	1.90857e-043	1
5.85	29	5.38516	1.87498e-015	1.87498e-015	3.8078e-043	1
5.87	32	5.65685	4.10938e-015	4.10938e-015	1.50535e-042	1
5.89	36	6	8.94072e-015	8.94072e-015	5.89715e-042	1
5.9	44	6.63325	1.31515e-014	1.31515e-014	1.16322e-041	1
5.92	36	6	2.83006e-014	2.83006e-014	4.49497e-041	1
5.93	33	5.74456	4.14011e-014	4.14011e-014	8.80593e-041	1
5.95	27	5.19615	8.81161e-014	8.81161e-014	3.35663e-040	1
5.97	32	5.65685	1.86172e-013	1.86172e-013	1.26786e-039	1
5.98	34	5.83095	2.69867e-013	2.69867e-013	2.45568e-039	1
6	47	6.85565	5.63941e-013	5.63941e-013	9.14961e-039	1
6.01	29	5.38516	8.12983e-013	8.12983e-013	1.76008e-038	1
6.03	39	6.245	1.68031e-012	1.68031e-012	6.46882e-038	1
6.04	36	6	2.40906e-012	2.40906e-012	1.23591e-037	1
6.06	30	5.47723	4.92469e-012	4.92469e-012	4.48064e-037	1
6.08	35	5.91608	9.9937e-012	9.9937e-012	1.60966e-036	1
6.09	55	7.4162	1.41973e-011	1.41973e-011	3.04051e-036	1
6.11	32	5.65685	2.84955e-011	2.84955e-011	1.07746e-035	1
6.12	47	6.85565	4.02595e-011	4.02595e-011	2.02137e-035	1
6.14	46	6.78233	7.99214e-011	7.99214e-011	7.06584e-035	1
6.16	28	5.2915	1.57498e-010	1.57498e-010	2.4475e-034	1
6.17	55	7.4162	2.20488e-010	2.20488e-010	4.53959e-034	1
6.19	34	5.83095	4.29754e-010	4.29754e-010	1.55109e-033	1
6.2	54	7.34847	5.98333e-010	5.98333e-010	2.85734e-033	1
6.22	51	7.14143	1.15346e-009	1.15346e-009	9.63039e-033	1
6.23	44	6.63325	1.59712e-009	1.59712e-009	1.76198e-032	1
6.25	46	6.78233	3.04522e-009	3.04522e-009	5.85791e-032	1
6.27	52	7.2111	5.76391e-009	5.76391e-009	1.92986e-031	1
6.28	46	6.78233	7.90811e-009	7.90811e-009	3.49087e-031	1
6.3	36	6	1.48045e-008	1.48045e-008	1.13444e-030	1
6.31	51	7.14143	2.02005e-008	2.02005e-008	2.03806e-030	1
6.33	35	5.91608	3.74031e-008	3.74031e-008	6.53319e-030	1
6.35	54	7.34847	6.87496e-008	6.87496e-008	2.07526e-029	1
6.36	36	6	9.29517e-008	9.29517e-008	3.68606e-029	1
6.38	44	6.63325	1.68983e-007	1.68983e-007	1.15497e-028	1
6.39	56	7.48331	2.27218e-007	2.27218e-007	2.03747e-028	1
6.41	55	7.4162	4.08556e-007	4.08556e-007	6.29743e-028	1
6.42	40	6.32456	5.4634e-007	5.4634e-007	1.10335e-027	1
6.44	53	7.28011	9.7162e-007	9.7162e-007	3.36393e-027	1
6.46	57	7.54983	1.71532e-006	1.71532e-006	1.0163e-026	1
