# exported by fityk 0.8.7
#5-Zn-EdelStahl:x	5-Zn-EdelStahl:y	5-Zn-EdelStahl:s	5-Zn-EdelStahl:F(x)	5-Zn-EdelStahl:%_1(x)	5-Zn-EdelStahl:%_2(x)	5-Zn-EdelStahl:%_3(x)	5-Zn-EdelStahl:a
2.25	22	4.69042	2.02108e-028	2.32927e-133	4.72059e-218	2.02108e-028	1
2.26	24	4.89898	2.823e-028	6.27261e-133	1.89554e-217	2.823e-028	1
2.28	25	5	5.49439e-028	4.52755e-132	3.03893e-216	5.49439e-028	1
2.3	25	5	1.06594e-027	3.24755e-131	4.83494e-215	1.06594e-027	1
2.31	25	5	1.48291e-027	8.67725e-131	1.92301e-214	1.48291e-027	1
2.33	25	5	2.86309e-027	6.16584e-130	3.02467e-213	2.86309e-027	1
2.34	30	5.47723	3.97349e-027	1.63975e-129	1.19614e-212	3.97349e-027	1
2.36	23	4.79583	7.63483e-027	1.15426e-128	1.85996e-211	7.63483e-027	1
2.37	26	5.09902	1.05704e-026	3.05525e-128	7.31341e-211	1.05704e-026	1
2.39	25	5	2.02127e-026	2.13055e-127	1.12426e-209	2.02127e-026	1
2.41	34	5.83095	3.85267e-026	1.47644e-126	1.71512e-208	3.85267e-026	1
2.42	30	5.47723	5.31261e-026	3.87754e-126	6.67984e-208	5.31261e-026	1
2.44	22	4.69042	1.00775e-025	2.66193e-125	1.00744e-206	1.00775e-025	1
2.45	31	5.56776	1.38629e-025	6.9582e-125	3.90126e-206	1.38629e-025	1
2.47	23	4.79583	2.61701e-025	4.73211e-124	5.8168e-205	2.61701e-025	1
2.48	16	4	3.59136e-025	1.23116e-123	2.23965e-204	3.59136e-025	1
2.5	36	6	6.74713e-025	8.29447e-123	3.30131e-203	6.74713e-025	1
2.52	22	4.69042	1.26352e-024	5.55318e-122	4.82919e-202	1.26352e-024	1
2.53	28	5.2915	1.727e-024	1.4335e-121	1.84172e-201	1.727e-024	1
2.55	37	6.08276	3.21858e-024	9.50756e-121	2.66341e-200	3.21858e-024	1
2.56	17	4.12311	4.3886e-024	2.44278e-120	1.00995e-199	4.3886e-024	1
2.58	19	4.3589	8.13963e-024	1.60499e-119	1.44391e-198	8.13963e-024	1
2.6	29	5.38516	1.50483e-023	1.04795e-118	2.04863e-197	1.50483e-023	1
2.61	28	5.2915	2.04365e-023	2.67148e-118	7.69449e-197	2.04365e-023	1
2.63	17	4.12311	3.76007e-023	1.72797e-117	1.07926e-195	3.76007e-023	1
2.64	22	4.69042	5.09411e-023	4.38436e-117	4.03049e-195	5.09411e-023	1
2.66	32	5.65685	9.3275e-023	2.80936e-116	5.58895e-194	9.3275e-023	1
2.67	30	5.47723	1.26064e-022	7.09476e-116	2.07526e-193	1.26064e-022	1
2.69	22	4.69042	2.29718e-022	4.50357e-115	2.84492e-192	2.29718e-022	1
2.71	29	5.38516	4.17257e-022	2.84088e-114	3.87037e-191	4.17257e-022	1
2.72	28	5.2915	5.61675e-022	7.11838e-114	1.42347e-190	5.61675e-022	1
2.74	25	5	1.01531e-021	4.44831e-113	1.9145e-189	1.01531e-021	1
2.75	23	4.79583	1.36344e-021	1.10938e-112	7.00108e-189	1.36344e-021	1
2.77	37	6.08276	2.45278e-021	6.86774e-112	9.30886e-188	2.45278e-021	1
2.79	27	5.19615	4.39831e-021	4.22497e-111	1.22832e-186	4.39831e-021	1
2.8	42	6.48074	5.8827e-021	1.04546e-110	4.44914e-186	5.8827e-021	1
2.82	32	5.65685	1.04981e-020	6.3714e-110	5.80385e-185	1.04981e-020	1
