# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_4(x)	2-Fe:%_5(x)	2-Fe:a
2.67	18	4.24264	9.90607e-052	9.90607e-052	5.45888e-115	1
2.69	10	3.16228	3.79832e-051	3.79832e-051	6.2006e-114	1
2.71	20	4.47214	1.44589e-050	1.44589e-050	6.9659e-113	1
2.72	12	3.4641	2.81339e-050	2.81339e-050	2.32517e-112	1
2.74	12	3.4641	1.05939e-049	1.05939e-049	2.56932e-111	1
2.75	14	3.74166	2.05017e-049	2.05017e-049	8.50563e-111	1
2.77	10	3.16228	7.63654e-049	7.63654e-049	9.24469e-110	1
2.79	18	4.24264	2.82396e-048	2.82396e-048	9.93784e-109	1
2.8	20	4.47214	5.41576e-048	5.41576e-048	3.24487e-108	1
2.82	11	3.31662	1.98108e-047	1.98108e-047	3.43098e-107	1
2.83	10	3.16228	3.77871e-047	3.77871e-047	1.11105e-106	1
2.85	17	4.12311	1.36731e-046	1.36731e-046	1.15551e-105	1
2.86	14	3.74166	2.59389e-046	2.59389e-046	3.71109e-105	1
2.88	19	4.3589	9.28446e-046	9.28446e-046	3.79633e-104	1
2.9	18	4.24264	3.29926e-045	3.29926e-045	3.84097e-103	1
2.91	19	4.3589	6.2025e-045	6.2025e-045	1.2167e-102	1
2.93	22	4.69042	2.18026e-044	2.18026e-044	1.21083e-101	1
2.94	14	3.74166	4.07661e-044	4.07661e-044	3.80396e-101	1
2.96	22	4.69042	1.4175e-043	1.4175e-043	3.72353e-100	1
2.98	13	3.60555	4.89326e-043	4.89326e-043	3.60486e-099	1
2.99	17	4.12311	9.06686e-043	9.06686e-043	1.11702e-098	1
3.01	27	5.19615	3.0961e-042	3.0961e-042	1.06369e-097	1
3.02	21	4.58258	5.70577e-042	5.70577e-042	3.26886e-097	1
3.04	28	5.2915	1.92732e-041	1.92732e-041	3.06176e-096	1
3.05	22	4.69042	3.5326e-041	3.5326e-041	9.33176e-096	1
3.07	27	5.19615	1.18036e-040	1.18036e-040	8.59725e-095	1
3.09	19	4.3589	3.91552e-040	3.91552e-040	7.83375e-094	1
3.1	23	4.79583	7.1121e-040	7.1121e-040	2.35494e-093	1
3.12	25	5	2.33375e-039	2.33375e-039	2.11062e-092	1
3.13	24	4.89898	4.21602e-039	4.21602e-039	6.29262e-092	1
3.15	32	5.65685	1.36849e-038	1.36849e-038	5.54733e-091	1
3.17	28	5.2915	4.40993e-038	4.40993e-038	4.83671e-090	1
3.18	25	5	7.89493e-038	7.89493e-038	1.42229e-089	1
3.2	33	5.74456	2.51664e-037	2.51664e-037	1.21976e-088	1
3.21	30	5.47723	4.48104e-037	4.48104e-037	3.55733e-088	1
3.23	22	4.69042	1.41297e-036	1.41297e-036	3.00077e-087	1
3.24	38	6.16441	2.50225e-036	2.50225e-036	8.67944e-087	1
3.26	39	6.245	7.80489e-036	7.80489e-036	7.20146e-086	1
3.28	34	5.83095	2.41689e-035	2.41689e-035	5.90968e-085	1
3.29	40	6.32456	4.24153e-035	4.24153e-035	1.68593e-084	1
3.31	61	7.81025	1.29925e-034	1.29925e-034	1.36083e-083	1
3.32	37	6.08276	2.26777e-034	2.26777e-034	3.85028e-083	1
3.34	45	6.7082	6.87152e-034	6.87152e-034	3.05687e-082	1
3.36	44	6.63325	2.06709e-033	2.06709e-033	2.40036e-081	1
3.37	43	6.55744	3.57547e-033	3.57547e-033	6.69856e-081	1
3.39	35	5.91608	1.06395e-032	1.06395e-032	5.17371e-080	1
3.4	48	6.9282	1.83036e-032	1.83036e-032	1.43192e-079	1
3.42	35	5.91608	5.38773e-032	5.38773e-032	1.08782e-078	1
3.43	39	6.245	9.21852e-032	9.21852e-032	2.98596e-078	1
3.45	39	6.245	2.68418e-031	2.68418e-031	2.23124e-077	1
3.47	45	6.7082	7.75921e-031	7.75921e-031	1.64901e-076	1
3.48	37	6.08276	1.31565e-030	1.31565e-030	4.46444e-076	1
3.5	51	7.14143	3.76207e-030	3.76207e-030	3.24537e-075	1
3.51	44	6.63325	6.3444e-030	6.3444e-030	8.71401e-075	1
3.53	45	6.7082	1.79456e-029	1.79456e-029	6.2307e-074	1
3.54	33	5.74456	3.00997e-029	3.00997e-029	1.65921e-073	1
3.56	35	5.91608	8.42193e-029	8.42193e-029	1.16692e-072	1
3.58	35	5.91608	2.33946e-028	2.33946e-028	8.11697e-072	1
3.59	30	5.47723	3.88855e-028	3.88855e-028	2.13194e-071	1
3.61	31	5.56776	1.06849e-027	1.06849e-027	1.45865e-070	1
3.62	37	6.08276	1.76638e-027	1.76638e-027	3.79964e-070	1
3.64	29	5.38516	4.80121e-027	4.80121e-027	2.55705e-069	1
3.66	37	6.08276	1.2956e-026	1.2956e-026	1.70195e-068	1
3.67	33	5.74456	2.12252e-026	2.12252e-026	4.37278e-068	1
3.69	45	6.7082	5.6657e-026	5.6657e-026	2.86278e-067	1
3.7	25	5	9.23155e-026	9.23155e-026	7.29473e-067	1
3.72	25	5	2.43757e-025	2.43757e-025	4.69744e-066	1
3.73	25	5	3.9502e-025	3.9502e-025	1.18711e-065	1
