#x, y, a, F(x), F[0](x), F[1](x)
371 226 1 226.022 0 0
372 248 1 226.491 0 0
373 210 1 226.989 0 0
374 244 1 227.517 0 0
375 243 1 228.076 0 0
376 224 1 228.667 0 0
377 238 1 229.292 0 0
378 242 1 229.951 0 0
379 230 1 230.645 0 0
380 189 1 231.376 0 0
381 224 1 232.145 0 0
382 238 1 232.952 0 0
383 245 1 233.799 0 0
384 223 1 234.687 0 0
385 248 1 235.616 0 0
386 236 1 236.588 0 0
387 226 1 237.604 0 0
388 236 1 238.665 0 0
389 211 1 239.772 0 0
390 216 1 240.926 0 0
391 228 1 242.127 0 0
392 229 1 243.377 0 0
393 245 1 244.676 0 0
394 247 1 246.025 0 0
395 257 1 247.426 0 0
396 256 1 248.878 0 0
397 227 1 250.383 0 0
398 241 1 251.941 0 0
399 269 1 253.552 0 0
400 239 1 255.218 0 0
401 241 1 256.939 0 0
402 242 1 258.714 0 0
403 243 1 260.545 0 0
404 217 1 262.432 0 0
405 244 1 264.374 0 0
406 265 1 266.373 0 0
407 242 1 268.427 0 0
408 232 1 270.537 0 0
409 268 1 272.703 0 0
410 238 1 274.924 0 0
411 284 1 277.201 0 0
412 267 1 279.532 0 0
413 250 1 281.917 0 0
414 249 1 284.355 0 0
415 268 1 286.846 0 0
416 281 1 289.389 0 0
417 288 1 291.983 0 0
418 279 1 294.626 0 0
419 278 1 297.317 0 0
420 286 1 300.056 0 0
421 328 1 302.84 0 0
422 278 1 305.668 0 0
423 293 1 308.539 0 0
424 284 1 311.45 0 0
425 309 1 314.4 0 0
426 318 1 317.386 0 0
427 318 1 320.406 0 0
428 300 1 323.459 0 0
429 323 1 326.542 0 0
430 330 1 329.651 0 0
431 295 1 332.785 0 0
432 318 1 335.941 0 0
433 342 1 339.116 0 0
434 310 1 342.308 0 0
435 337 1 345.512 0 0
436 352 1 348.726 0 0
437 359 1 351.947 0 0
438 362 1 355.171 0 0
439 355 1 358.396 0 0
440 384 1 361.617 0 0
441 372 1 364.831 0 0
442 424 1 368.035 0 0
443 409 1 371.225 0 0
444 391 1 374.396 0 0
445 398 1 377.547 0 0
446 434 1 380.672 0 0
447 397 1 383.768 0 0
448 394 1 386.831 0 0
449 408 1 389.858 0 0
450 416 1 392.844 0 0
451 476 1 395.785 0 0
452 455 1 398.679 0 0
453 439 1 401.521 0 0
454 407 1 404.307 0 0
455 448 1 407.033 0 0
456 438 1 409.697 0 0
457 433 1 412.293 0 0
458 454 1 414.82 0 0
459 462 1 417.272 0 0
460 478 1 419.648 0 0
461 458 1 421.943 0 0
462 480 1 424.154 0 0
463 470 1 426.279 0 0
464 472 1 428.313 0 0
465 454 1 430.255 0 0
466 480 1 432.101 0 0
467 430 1 433.849 0 0
468 462 1 435.496 0 0
469 412 1 437.04 0 0
