# exported by fityk 0.8.7
#8-Mo:x	8-Mo:y	8-Mo:s	8-Mo:F(x)	8-Mo:%_4(x)	8-Mo:%_5(x)	8-Mo:%_6(x)	8-Mo:%_7(x)	8-Mo:a
3.39	23	4.79583	7.1484e-012	0	0	7.1484e-012	1.70318e-037	1
3.4	17	4.12311	8.17428e-012	0	0	8.17428e-012	2.13622e-037	1
3.42	24	4.89898	1.06791e-011	0	0	1.06791e-011	3.35768e-037	1
3.43	18	4.24264	1.22005e-011	0	0	1.22005e-011	4.20772e-037	1
3.45	22	4.69042	1.59098e-011	0	0	1.59098e-011	6.60212e-037	1
3.47	21	4.58258	2.07216e-011	0	0	2.07216e-011	1.0347e-036	1
3.48	16	4	2.36377e-011	0	0	2.36377e-011	1.29477e-036	1
3.5	23	4.79583	3.07305e-011	0	0	3.07305e-011	2.02566e-036	1
3.51	15	3.87298	3.5023e-011	0	0	3.5023e-011	2.53259e-036	1
3.53	19	4.3589	4.54488e-011	0	0	4.54488e-011	3.95532e-036	1
3.54	21	4.58258	5.17498e-011	0	0	5.17498e-011	4.94085e-036	1
3.56	20	4.47214	6.70323e-011	0	0	6.70323e-011	7.70304e-036	1
3.58	15	3.87298	8.6722e-011	0	0	8.6722e-011	1.19955e-035	1
3.59	28	5.2915	9.85946e-011	0	0	9.85946e-011	1.49626e-035	1
3.61	18	4.24264	1.27322e-010	0	0	1.27322e-010	2.32598e-035	1
3.62	21	4.58258	1.44621e-010	0	0	1.44621e-010	2.89879e-035	1
3.64	16	4	1.86417e-010	0	0	1.86417e-010	4.49841e-035	1
3.66	13	3.60555	2.4e-010	0	0	2.4e-010	6.97262e-035	1
3.67	22	4.69042	2.72193e-010	0	0	2.72193e-010	8.67712e-035	1
3.69	22	4.69042	3.4979e-010	0	0	3.4979e-010	1.34263e-034	1
3.7	17	4.12311	3.96346e-010	0	0	3.96346e-010	1.66939e-034	1
3.72	19	4.3589	5.08406e-010	0	0	5.08406e-010	2.57858e-034	1
3.73	15	3.87298	5.75547e-010	0	0	5.75547e-010	3.20335e-034	1
3.75	13	3.60555	7.36924e-010	0	0	7.36924e-010	4.93936e-034	1
3.77	22	4.69042	9.42398e-010	0	0	9.42398e-010	7.60734e-034	1
3.78	8	2.82843	1.06523e-009	0	0	1.06523e-009	9.43679e-034	1
3.8	21	4.58258	1.35975e-009	0	0	1.35975e-009	1.45087e-033	1
3.81	25	5	1.53557e-009	0	0	1.53557e-009	1.79822e-033	1
3.83	13	3.60555	1.95655e-009	0	0	1.95655e-009	2.75989e-033	1
3.85	16	4	2.48992e-009	0	0	2.48992e-009	4.23092e-033	1
3.86	18	4.24264	2.80758e-009	0	0	2.80758e-009	5.23621e-033	1
3.88	24	4.89898	3.5664e-009	0	0	3.5664e-009	8.01316e-033	1
3.89	18	4.24264	4.01773e-009	0	0	4.01773e-009	9.9085e-033	1
3.91	13	3.60555	5.0943e-009	0	0	5.0943e-009	1.51369e-032	1
3.92	20	4.47214	5.73373e-009	0	0	5.73373e-009	1.87009e-032	1
3.94	20	4.47214	7.25681e-009	0	0	7.25681e-009	2.85191e-032	1
3.96	19	4.3589	9.17328e-009	0	0	9.17328e-009	4.34415e-032	1
3.97	15	3.87298	1.0309e-008	0	0	1.0309e-008	5.35919e-032	1
3.99	14	3.74166	1.30077e-008	0	0	1.30077e-008	8.14911e-032	1
4	15	3.87298	1.46047e-008	0	0	1.46047e-008	1.00445e-031	1
4.02	15	3.87298	1.83943e-008	0	0	1.83943e-008	1.52469e-031	1
4.04	7	2.64575	2.31389e-008	0	0	2.31389e-008	2.3117e-031	1
4.05	17	4.12311	2.59402e-008	0	0	2.59402e-008	2.84522e-031	1
4.07	23	4.79583	3.25715e-008	0	0	3.25715e-008	4.30635e-031	1
4.08	17	4.12311	3.64815e-008	0	0	3.64815e-008	5.29561e-031	1
4.1	18	4.24264	4.57238e-008	0	0	4.57238e-008	8.00114e-031	1
4.11	21	4.58258	5.11657e-008	0	0	5.11657e-008	9.83061e-031	1
4.13	19	4.3589	6.4011e-008	0	0	6.4011e-008	1.48272e-030	1
4.15	16	4	7.99834e-008	0	0	7.99834e-008	2.23374e-030	1
4.16	18	4.24264	8.93664e-008	0	0	8.93664e-008	2.74051e-030	1
4.18	12	3.4641	1.11462e-007	0	0	1.11462e-007	4.12143e-030	1
4.19	13	3.60555	1.24423e-007	0	0	1.24423e-007	5.05205e-030	1
4.21	16	4	1.54902e-007	0	0	1.54902e-007	7.58452e-030	1
4.23	15	3.87298	1.92613e-007	0	0	1.92613e-007	1.13732e-029	1
4.24	6	2.44949	2.14684e-007	0	0	2.14684e-007	1.39211e-029	1
4.26	12	3.4641	2.6646e-007	0	0	2.6646e-007	2.08387e-029	1
4.27	17	4.12311	2.96721e-007	0	0	2.96721e-007	2.54848e-029	1
4.29	10	3.16228	3.67608e-007	0	0	3.67608e-007	3.80823e-029	1
4.3	20	4.47214	4.08983e-007	0	0	4.08983e-007	4.65323e-029	1
4.32	18	4.24264	5.05764e-007	0	0	5.05764e-007	6.94127e-029	1
4.34	10	3.16228	6.24684e-007	0	0	6.24684e-007	1.03424e-028	1
4.35	15	3.87298	6.93934e-007	0	0	6.93934e-007	1.26189e-028	1
4.37	13	3.60555	8.55531e-007	0	0	8.55531e-007	1.87691e-028	1
4.38	11	3.31662	9.49502e-007	0	0	9.49502e-007	2.28805e-028	1
4.4	11	3.31662	1.16847e-006	0	0	1.16847e-006	3.39729e-028	1
4.42	15	3.87298	1.43619e-006	0	0	1.43619e-006	5.03841e-028	1
4.43	11	3.31662	1.59151e-006	0	0	1.59151e-006	6.13317e-028	1
4.45	15	3.87298	1.95258e-006	0	0	1.95258e-006	9.08009e-028	1
4.46	10	3.16228	2.16177e-006	0	0	2.16177e-006	1.10434e-027	1
4.48	15	3.87298	2.64736e-006	0	0	2.64736e-006	1.63212e-027	1
4.49	16	4	2.92831e-006	0	0	2.92831e-006	1.98329e-027	1
4.51	13	3.60555	3.57953e-006	0	0	3.57953e-006	2.92601e-027	1
4.53	12	3.4641	4.37024e-006	0	0	4.37024e-006	4.31184e-027	1
4.54	19	4.3589	4.82666e-006	0	0	4.82666e-006	5.23198e-027	1
4.56	14	3.74166	5.88208e-006	0	0	5.88208e-006	7.69654e-027	1
4.57	21	4.58258	6.49045e-006	0	0	6.49045e-006	9.33085e-027	1
4.59	18	4.24264	7.89523e-006	0	0	7.89523e-006	1.37023e-026	1
4.6	16	4	8.70385e-006	0	0	8.70385e-006	1.65974e-026	1
4.62	11	3.31662	1.05683e-005	0	0	1.05683e-005	2.43308e-026	1
4.64	23	4.79583	1.28166e-005	0	0	1.28166e-005	3.5626e-026	1
4.65	14	3.74166	1.41077e-005	0	0	1.41077e-005	4.30906e-026	1
4.67	7	2.64575	1.70776e-005	0	0	1.70776e-005	6.29849e-026	1
4.68	12	3.4641	1.87808e-005	0	0	1.87808e-005	7.61157e-026	1
4.7	13	3.60555	2.26929e-005	0	0	2.26929e-005	1.11063e-025	1
4.72	7	2.64575	2.73865e-005	0	0	2.73865e-005	1.61869e-025	1
4.73	18	4.24264	3.00719e-005	0	0	3.00719e-005	1.9533e-025	1
4.75	16	4	3.62253e-005	0	0	3.62253e-005	2.84188e-025	1
4.76	13	3.60555	3.9741e-005	0	0	3.9741e-005	3.42637e-025	1
4.78	14	3.74166	4.77854e-005	0	0	4.77854e-005	4.97636e-025	1
4.79	10	3.16228	5.23752e-005	0	0	5.23752e-005	5.99462e-025	1
4.81	14	3.74166	6.28619e-005	0	0	6.28619e-005	8.69127e-025	1
4.83	16	4	7.53563e-005	0	0	7.53563e-005	1.25864e-024	1
4.84	12	3.4641	8.24683e-005	0	0	8.24683e-005	1.51398e-024	1
4.86	16	4	9.8679e-005	0	0	9.8679e-005	2.18866e-024	1
4.87	14	3.74166	0.000107893	0	0	0.000107893	2.63039e-024	1
4.89	12	3.4641	0.000128866	0	0	0.000128866	3.79597e-024	1
4.91	16	4	0.000153727	0	0	0.000153727	5.47168e-024	1
4.92	12	3.4641	0.000167826	0	0	0.000167826	6.56645e-024	1
4.94	14	3.74166	0.000199838	0	0	0.000199838	9.4487e-024	1
4.95	16	4	0.000217965	0	0	0.000217965	1.13293e-023	1
4.97	14	3.74166	0.000259067	0	0	0.000259067	1.62738e-023	1
4.98	18	4.24264	0.000282309	0	0	0.000282309	1.94958e-023	1
5	12	3.4641	0.00033493	0	0	0.00033493	2.79556e-023	1
5.02	21	4.58258	0.000396874	0	0	0.000396874	4.00397e-023	1
5.03	15	3.87298	0.000431821	0	0	0.000431821	4.78975e-023	1
5.05	14	3.74166	0.000510749	0	0	0.000510749	6.84824e-023	1
5.06	23	4.79583	0.000555215	0	0	0.000555215	8.18507e-023	1
5.08	8	2.82843	0.000655498	0	0	0.000655498	1.16824e-022	1
5.1	14	3.74166	0.00077295	0	0	0.00077295	1.66547e-022	1
5.11	16	4	0.000838962	0	0	0.000838962	1.98769e-022	1
5.13	13	3.60555	0.000987478	0	0	0.000987478	2.82876e-022	1
5.14	18	4.24264	0.00107083	0	0	0.00107083	3.37311e-022	1
5.16	13	3.60555	0.00125809	0	0	0.00125809	4.79204e-022	1
5.17	12	3.4641	0.00136304	0	0	0.00136304	5.70922e-022	1
5.19	25	5	0.00159847	0	0	0.00159847	8.09674e-022	1
5.21	14	3.74166	0.00187228	0	0	0.00187228	1.14694e-021	1
5.22	12	3.4641	0.00202537	0	0	0.00202537	1.36447e-021	1
5.24	21	4.58258	0.00236797	0	0	0.00236797	1.92946e-021	1
5.25	16	4	0.00255925	0	0	0.00255925	2.29342e-021	1
5.27	13	3.60555	0.00298669	0	0	0.00298669	3.23741e-021	1
5.29	16	4	0.00348126	0	0	0.00348126	4.56465e-021	1
5.3	18	4.24264	0.00375674	0	0	0.00375674	5.41781e-021	1
5.32	13	3.60555	0.00437082	0	0	0.00437082	7.62565e-021	1
5.33	10	3.16228	0.00471238	0	0	0.00471238	9.04304e-021	1
5.35	9	3	0.00547265	0	0	0.00547265	1.27061e-020	1
5.36	18	4.24264	0.00589492	0	0	0.00589492	1.50546e-020	1
5.38	20	4.47214	0.00683346	0	0	0.00683346	2.11159e-020	1
5.4	13	3.60555	0.00791176	0	0	0.00791176	2.95831e-020	1
5.41	7	2.64575	0.00850924	0	0	0.00850924	3.50003e-020	1
5.43	11	3.31662	0.00983397	0	0	0.00983397	4.89497e-020	1
5.44	20	4.47214	0.0105669	0	0	0.0105669	5.78629e-020	1
5.46	12	3.4641	0.0121897	0	0	0.0121897	8.07832e-020	1
5.48	14	3.74166	0.0140445	0	0	0.0140445	1.12652e-019	1
5.49	14	3.74166	0.0150683	0	0	0.0150683	1.32971e-019	1
5.51	16	4	0.0173294	0	0	0.0173294	1.85104e-019	1
5.52	17	4.12311	0.0185757	0	0	0.0185757	2.18301e-019	1
5.54	12	3.4641	0.021324	0	0	0.021324	3.0336e-019	1
5.55	11	3.31662	0.0228366	0	0	0.0228366	3.57454e-019	1
5.57	7	2.64575	0.0261674	0	0	0.0261674	4.95868e-019	1
5.59	14	3.74166	0.0299475	0	0	0.0299475	6.87079e-019	1
5.6	16	4	0.032023	0	0	0.032023	8.08421e-019	1
5.62	15	3.87298	0.036582	0	0	0.036582	1.11821e-018	1
5.63	17	4.12311	0.0390815	0	0	0.0390815	1.31454e-018	1
5.65	11	3.31662	0.0445637	0	0	0.0445637	1.8151e-018	1
5.67	11	3.31662	0.050753	0	0	0.050753	2.50336e-018	1
5.68	13	3.60555	0.0541381	0	0	0.0541381	2.93864e-018	1
5.7	15	3.87298	0.0615444	0	0	0.0615444	4.04586e-018	1
5.71	13	3.60555	0.0655893	0	0	0.0655893	4.7452e-018	1
5.73	18	4.24264	0.0744259	0	0	0.0744259	6.52173e-018	1
5.74	12	3.4641	0.0792448	0	0	0.0792448	7.64237e-018	1
5.76	17	4.12311	0.0897568	0	0	0.0897568	1.04853e-017	1
5.78	20	4.47214	0.101539	0	0	0.101539	1.4369e-017	1
5.79	12	3.4641	0.107949	0	0	0.107949	1.68136e-017	1
5.81	16	4	0.121896	0	0	0.121896	2.30012e-017	1
5.82	14	3.74166	0.129472	0	0	0.129472	2.68909e-017	1
5.84	14	3.74166	0.145933	0	0	0.145933	3.67231e-017	1
5.85	12	3.4641	0.154862	0	0	0.154862	4.2896e-017	1
5.87	18	4.24264	0.174231	0	0	0.174231	5.8478e-017	1
5.89	12	3.4641	0.195785	0	0	0.195785	7.96276e-017	1
5.9	11	3.31662	0.207447	0	0	0.207447	9.28774e-017	1
5.92	27	5.19615	0.232683	0	0	0.232683	1.26248e-016	1
5.93	13	3.60555	0.246317	0	0	0.246317	1.47127e-016	1
5.95	16	4	0.275777	0	0	0.275777	1.99641e-016	1
5.97	18	4.24264	0.308384	0	0	0.308384	2.70585e-016	1
5.98	13	3.60555	0.325956	0	0	0.325956	3.14877e-016	1
6	13	3.60555	0.36383	0	0	0.36383	4.26026e-016	1
6.01	15	3.87298	0.38421	0	0	0.38421	4.9533e-016	1
6.03	25	5	0.428068	0	0	0.428068	6.69012e-016	1
6.04	15	3.87298	0.451633	0	0	0.451633	7.77167e-016	1
6.06	18	4.24264	0.502268	0	0	0.502268	1.04784e-015	1
6.08	17	4.12311	0.557898	0	0	0.557898	1.41115e-015	1
6.09	23	4.79583	0.587713	0	0	0.587713	1.6369e-015	1
6.11	10	3.16228	0.651614	0	0	0.651614	2.20061e-015	1
6.12	13	3.60555	0.68581	0	0	0.68581	2.55044e-015	1
6.14	21	4.58258	0.758986	0	0	0.758986	3.42277e-015	1
6.16	18	4.24264	0.838946	0	0	0.838946	4.58815e-015	1
6.17	10	3.16228	0.881628	0	0	0.881628	5.30979e-015	1
6.19	9	3	0.972727	0	0	0.972727	7.10525e-015	1
6.2	20	4.47214	1.02128	0	0	1.02128	8.21563e-015	1
