# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_1(x)	2-Fe:%_2(x)	2-Fe:%_3(x)	2-Fe:%_4(x)	2-Fe:a
3.61	31	5.56776	39.1742	1.35394e-027	1.88737e-070	0	39.1742	1
3.62	37	6.08276	38.58	2.23447e-027	4.90928e-070	0	38.58	1
3.64	29	5.38516	37.319	6.05308e-027	3.29425e-069	0	37.319	1
3.66	37	6.08276	35.9713	1.62796e-026	2.18634e-068	0	35.9713	1
3.67	33	5.74456	35.2687	2.66256e-026	5.60925e-068	0	35.2687	1
3.69	45	6.7082	33.8144	7.08375e-026	3.66181e-067	0	33.8144	1
3.7	25	5	33.0658	1.15231e-025	9.31751e-067	0	33.0658	1
3.72	25	5	31.5338	3.0327e-025	5.98306e-066	0	31.5338	1
3.73	25	5	30.7537	4.90663e-025	1.50988e-065	0	30.7537	1
3.75	39	6.245	29.173	1.27744e-024	9.53669e-065	0	29.173	1
3.77	17	4.12311	27.5755	3.30188e-024	5.95764e-064	0	27.5755	1
3.78	23	4.79583	26.7741	5.29415e-024	1.48293e-063	0	26.7741	1
3.8	31	5.56776	25.1734	1.35368e-023	9.11229e-063	0	25.1734	1
3.81	35	5.91608	24.3769	2.15873e-023	2.24952e-062	0	24.3769	1
3.83	20	4.47214	22.7978	5.46027e-023	1.35966e-061	0	22.7978	1
3.85	23	4.79583	21.2453	1.37118e-022	8.12811e-061	0	21.2453	1
3.86	25	5	20.4819	2.167e-022	1.97915e-060	0	20.4819	1
3.88	17	4.12311	18.9858	5.38313e-022	1.16378e-059	0	18.9858	1
3.89	23	4.79583	18.2549	8.4615e-022	2.81044e-059	0	18.2549	1
3.91	17	4.12311	16.8315	2.07932e-021	1.62554e-058	0	16.8315	1
3.92	13	3.60555	16.1405	3.25074e-021	3.8933e-058	0	16.1405	1
3.94	16	4	14.8029	7.90229e-021	2.215e-057	0	14.8029	1
3.96	14	3.74166	13.528	1.90717e-020	1.24638e-056	0	13.528	1
3.97	12	3.4641	12.9151	2.95481e-020	2.9444e-056	0	12.9151	1
3.99	18	4.24264	11.7401	7.05444e-020	1.62969e-055	0	11.7401	1
4	16	4	11.1785	1.08706e-019	3.81828e-055	0	11.1785	1
4.02	19	4.3589	10.1075	2.56733e-019	2.07878e-054	0	10.1075	1
4.04	18	4.24264	9.10666	6.01971e-019	1.11936e-053	0	9.10666	1
4.05	19	4.3589	8.63256	9.19278e-019	2.58677e-053	0	8.63256	1
4.07	33	5.74456	7.73648	2.13225e-018	1.3701e-052	0	7.73648	1
4.08	20	4.47214	7.3142	3.2386e-018	3.14019e-052	0	7.3142	1
4.1	16	4	6.52013	7.43096e-018	1.63599e-051	0	6.52013	1
4.11	15	3.87298	6.14785	1.12257e-017	3.71878e-051	0	6.14785	1
4.13	23	4.79583	5.45129	2.54799e-017	1.90571e-050	0	5.45129	1
4.15	17	4.12311	4.81652	5.74178e-017	9.65906e-050	0	4.81652	1
4.16	15	3.87298	4.52138	8.59598e-017	2.16562e-049	0	4.52138	1
4.18	14	3.74166	3.97366	1.9162e-016	1.07967e-048	0	3.97366	1
4.19	19	4.3589	3.72025	2.85324e-016	2.40079e-048	0	3.72025	1
4.21	17	4.12311	3.25221	6.29189e-016	1.17732e-047	0	3.25221	1
4.23	22	4.69042	2.83297	1.37749e-015	5.71027e-047	0	2.83297	1
4.24	14	3.74166	2.64056	2.03267e-015	1.25241e-046	0	2.64056	1
4.26	19	4.3589	2.28794	4.40222e-015	5.97502e-046	0	2.28794	1
4.27	20	4.47214	2.12687	6.46097e-015	1.2997e-045	0	2.12687	1
4.29	26	5.09902	1.83307	1.3842e-014	6.09916e-045	0	1.83307	1
4.3	24	4.89898	1.69949	2.02057e-014	1.3158e-044	0	1.69949	1
4.32	22	4.69042	1.45693	4.28226e-014	6.07362e-044	0	1.45693	1
4.34	18	4.24264	1.24457	9.01022e-014	2.77285e-043	0	1.24457	1
4.35	18	4.24264	1.14876	1.30344e-013	5.90029e-043	0	1.14876	1
4.37	25	5	0.976106	2.71301e-013	2.64962e-042	0	0.976106	1
4.38	28	5.2915	0.898569	3.90351e-013	5.59173e-042	0	0.898569	1
4.4	23	4.79583	0.759458	8.03733e-013	2.46995e-041	0	0.759458	1
4.42	21	4.58258	0.639607	1.64298e-012	1.07907e-040	0	0.639607	1
4.43	16	4	0.586191	2.34271e-012	2.24616e-040	0	0.586191	1
4.45	23	4.79583	0.491061	4.73736e-012	9.65238e-040	0	0.491061	1
4.46	19	4.3589	0.448854	6.71846e-012	1.99269e-039	0	0.448854	1
4.48	24	4.89898	0.374013	1.34396e-011	8.42299e-039	0	0.374013	1
4.49	15	3.87298	0.340957	1.89569e-011	1.72459e-038	0	0.340957	1
4.51	18	4.24264	0.282597	3.75128e-011	7.17043e-038	0	0.282597	1
4.53	29	5.38516	0.233396	7.3698e-011	2.94866e-037	0	0.233396	1
4.54	25	5	0.211825	1.03019e-010	5.95486e-037	0	0.211825	1
4.56	34	5.83095	0.174016	2.00213e-010	2.4087e-036	0	0.174016	1
4.57	31	5.56776	0.157513	2.78358e-010	4.82443e-036	0	0.157513	1
4.59	21	4.58258	0.128711	5.35148e-010	1.9195e-035	0	0.128711	1
4.6	29	5.38516	0.116195	7.40003e-010	3.813e-035	0	0.116195	1
4.62	25	5	0.0944432	1.40735e-009	1.49225e-034	0	0.0944432	1
4.64	32	5.65685	0.0764914	2.65725e-009	5.77613e-034	0	0.0764914	1
4.65	29	5.38516	0.0687473	3.64144e-009	1.13173e-033	0	0.0687472	1
4.67	24	4.89898	0.0553839	6.80146e-009	4.30893e-033	0	0.0553839	1
4.68	31	5.56776	0.0496443	9.27024e-009	8.37319e-033	0	0.0496443	1
4.7	26	5.09902	0.0397817	1.71284e-008	3.13581e-032	0	0.0397817	1
4.72	28	5.2915	0.0317655	3.14201e-008	1.16153e-031	0	0.0317655	1
4.73	24	4.89898	0.0283474	4.24401e-008	2.22627e-031	0	0.0283474	1
4.75	29	5.38516	0.022515	7.70131e-008	8.11127e-031	0	0.0225149	1
4.76	34	5.83095	0.0200389	1.03462e-007	1.54189e-030	0	0.0200388	1
4.78	28	5.2915	0.0158315	1.85723e-007	5.52581e-030	0	0.0158313	1
4.79	30	5.47723	0.0140529	2.48161e-007	1.04178e-029	0	0.0140527	1
4.81	30	5.47723	0.0110435	4.40671e-007	3.6724e-029	0	0.0110431	1
4.83	50	7.07107	0.00864802	7.76891e-007	1.2804e-028	0	0.00864725	1
4.84	16	4	0.00764279	1.02874e-006	2.38096e-028	0	0.00764176	1
4.86	27	5.19615	0.00595386	1.79412e-006	8.16544e-028	0	0.00595206	1
4.87	17	4.12311	0.00524834	2.3629e-006	1.50592e-027	0	0.00524598	1
4.89	21	4.58258	0.00406838	4.07648e-006	5.07997e-027	0	0.00406431	1
