# exported by fityk 0.8.7
#18-X:x	18-X:y	18-X:s	18-X:F(x)	18-X:%_1(x)	18-X:%_3(x)	18-X:a
2.64	17	4.12311	2.73551e-092	2.73551e-092	2.68151e-158	1
2.66	15	3.87298	1.70552e-091	1.70552e-091	3.77331e-157	1
2.67	21	4.58258	4.24637e-091	4.24637e-091	1.41042e-156	1
2.69	21	4.58258	2.61721e-090	2.61721e-090	1.9566e-155	1
2.71	14	3.74166	1.60077e-089	1.60077e-089	2.68864e-154	1
2.72	15	3.87298	3.9475e-089	3.9475e-089	9.93117e-154	1
2.74	25	5	2.38678e-088	2.38678e-088	1.34537e-152	1
2.75	22	4.69042	5.85204e-088	5.85204e-088	4.9342e-152	1
2.77	13	3.60555	3.49782e-087	3.49782e-087	6.58978e-151	1
2.79	17	4.12311	2.0747e-086	2.0747e-086	8.71767e-150	1
2.8	27	5.19615	5.03831e-086	5.03831e-086	3.1595e-149	1
2.82	17	4.12311	2.95423e-085	2.95423e-085	4.12059e-148	1
2.83	18	4.24264	7.13302e-085	7.13302e-085	1.4828e-147	1
2.85	26	5.09902	4.1346e-084	4.1346e-084	1.9065e-146	1
2.86	22	4.69042	9.92577e-084	9.92577e-084	6.81188e-146	1
2.88	18	4.24264	5.68755e-083	5.68755e-083	8.63441e-145	1
2.9	26	5.09902	3.2341e-082	3.2341e-082	1.08411e-143	1
2.91	18	4.24264	7.68986e-082	7.68986e-082	3.82778e-143	1
2.93	24	4.89898	4.32263e-081	4.32263e-081	4.73805e-142	1
2.94	13	3.60555	1.02191e-080	1.02191e-080	1.66104e-141	1
2.96	19	4.3589	5.67863e-080	5.67863e-080	2.02696e-140	1
2.98	15	3.87298	3.13142e-079	3.13142e-079	2.4501e-139	1
2.99	25	5	7.33231e-079	7.33231e-079	8.48804e-139	1
3.01	16	4	3.99705e-078	3.99705e-078	1.01148e-137	1
3.02	30	5.47723	9.3055e-078	9.3055e-078	3.47927e-137	1
3.04	17	4.12311	5.01464e-077	5.01464e-077	4.08745e-136	1
3.05	19	4.3589	1.16075e-076	1.16075e-076	1.39601e-135	1
3.07	18	4.24264	6.1836e-076	6.1836e-076	1.61683e-134	1
3.09	19	4.3589	3.26896e-075	3.26896e-075	1.85488e-133	1
3.1	12	3.4641	7.49454e-075	7.49454e-075	6.2603e-133	1
3.12	17	4.12311	3.91665e-074	3.91665e-074	7.08041e-132	1
