# exported by fityk 0.8.7
#16-1-Cent:x	16-1-Cent:y	16-1-Cent:s	16-1-Cent:F(x)	16-1-Cent:%_1(x)	16-1-Cent:%_2(x)	16-1-Cent:a
4.79	12	3.4641	2.71588e-037	2.71588e-037	4.11928e-076	1
4.81	19	4.3589	8.61738e-037	8.61738e-037	2.40524e-075	1
4.83	24	4.89898	2.71453e-036	2.71453e-036	1.39228e-074	1
4.84	13	3.60555	4.80479e-036	4.80479e-036	3.33883e-074	1
4.86	23	4.79583	1.49719e-035	1.49719e-035	1.90767e-073	1
4.87	15	3.87298	2.6357e-035	2.6357e-035	4.54509e-073	1
4.89	25	5	8.12416e-035	8.12416e-035	2.56327e-072	1
4.91	22	4.69042	2.48608e-034	2.48608e-034	1.43309e-071	1
4.92	15	3.87298	4.33714e-034	4.33714e-034	3.37753e-071	1
4.94	25	5	1.31287e-033	1.31287e-033	1.86389e-070	1
4.95	27	5.19615	2.27798e-033	2.27798e-033	4.36433e-070	1
4.97	22	4.69042	6.82102e-033	6.82102e-033	2.37729e-069	1
4.98	19	4.3589	1.17712e-032	1.17712e-032	5.53032e-069	1
5	18	4.24264	3.48658e-032	3.48658e-032	2.97343e-068	1
5.02	27	5.19615	1.02526e-031	1.02526e-031	1.58487e-067	1
5.03	17	4.12311	1.75336e-031	1.75336e-031	3.64709e-067	1
5.05	23	4.79583	5.1002e-031	5.1002e-031	1.91878e-066	1
5.06	16	4	8.67492e-031	8.67492e-031	4.38682e-066	1
5.08	22	4.69042	2.49611e-030	2.49611e-030	2.27809e-065	1
5.1	22	4.69042	7.13041e-030	7.13041e-030	1.17279e-064	1
5.11	24	4.89898	1.20188e-029	1.20188e-029	2.65234e-064	1
5.13	17	4.12311	3.3962e-029	3.3962e-029	1.34779e-063	1
5.14	18	4.24264	5.69351e-029	5.69351e-029	3.02833e-063	1
5.16	23	4.79583	1.59145e-028	1.59145e-028	1.51893e-062	1
5.17	13	3.60555	2.65351e-028	2.65351e-028	3.3907e-062	1
5.19	26	5.09902	7.33697e-028	7.33697e-028	1.67867e-061	1
5.21	21	4.58258	2.01403e-027	2.01403e-027	8.23894e-061	1
5.22	14	3.74166	3.32783e-027	3.32783e-027	1.81932e-060	1
5.24	13	3.60555	9.03634e-027	9.03634e-027	8.81369e-060	1
5.25	26	5.09902	1.48501e-026	1.48501e-026	1.9336e-059	1
5.27	17	4.12311	3.98879e-026	3.98879e-026	9.24607e-059	1
5.29	17	4.12311	1.06367e-025	1.06367e-025	4.38305e-058	1
5.3	25	5	1.73225e-025	1.73225e-025	9.51198e-058	1
