# exported by fityk 0.8.7
#12-X:x	12-X:y	12-X:s	12-X:F(x)	12-X:%_1(x)	12-X:%_2(x)	12-X:%_4(x)	12-X:%_6(x)	12-X:a
2.93	19	4.3589	1.58551e-057	2.3541e-180	8.28146e-239	9.60964e-229	1.58551e-057	1
2.94	14	3.74166	2.45315e-057	7.14559e-180	2.61954e-238	2.34674e-228	2.45315e-057	1
2.96	17	4.12311	5.86024e-057	6.55468e-179	2.61156e-237	1.39636e-227	5.86024e-057	1
2.98	19	4.3589	1.39598e-056	5.97744e-178	2.59119e-236	8.28367e-227	1.39598e-056	1
2.99	13	3.60555	2.15229e-056	1.80111e-177	8.14739e-236	2.01532e-226	2.15229e-056	1
3.01	15	3.87298	5.10535e-056	1.6281e-176	8.02602e-235	1.19016e-225	5.10535e-056	1
3.02	27	5.19615	7.85465e-056	4.88422e-176	2.51456e-234	2.88898e-225	7.85465e-056	1
3.04	10	3.16228	1.85528e-055	4.37634e-175	2.45938e-233	1.6984e-224	1.85528e-055	1
3.05	22	4.69042	2.84834e-055	1.30711e-174	7.67766e-233	4.11338e-224	2.84834e-055	1
3.07	11	3.31662	6.69937e-055	1.16093e-173	7.45549e-232	2.40731e-223	6.69937e-055	1
3.09	19	4.3589	1.57127e-054	1.02506e-172	7.20519e-231	1.40461e-222	1.57127e-054	1
3.1	17	4.12311	2.40379e-054	3.03922e-172	2.23589e-230	3.38904e-222	2.40379e-054	1
3.12	10	3.16228	5.614e-054	2.66e-171	2.14537e-229	1.9685e-221	5.614e-054	1
3.13	17	4.12311	8.57038e-054	7.85208e-171	6.63361e-229	4.73888e-221	8.57038e-054	1
3.15	14	3.74166	1.99313e-053	6.81207e-170	6.31954e-228	2.74013e-220	1.99313e-053	1
3.17	18	4.24264	4.62213e-053	5.87523e-169	5.9916e-227	1.57964e-219	4.62213e-053	1
3.18	20	4.47214	7.03131e-053	1.72164e-168	1.84159e-226	3.78845e-219	7.03131e-053	1
3.2	15	3.87298	1.62369e-052	1.47185e-167	1.73354e-225	2.17412e-218	1.62369e-052	1
3.21	12	3.4641	2.46477e-052	4.29405e-167	5.30913e-225	5.20241e-218	2.46477e-052	1
3.23	15	3.87298	5.66766e-052	3.63885e-166	4.96189e-224	2.97211e-217	5.66766e-052	1
3.24	14	3.74166	8.58533e-052	1.05696e-165	1.51419e-223	7.09583e-217	8.58533e-052	1
3.26	15	3.87298	1.96582e-051	8.87832e-165	1.40503e-222	4.03551e-216	1.96582e-051	1
3.28	14	3.74166	4.48852e-051	7.41404e-164	1.29752e-221	2.28815e-215	4.48852e-051	1
3.29	15	3.87298	6.77521e-051	2.13777e-163	3.93595e-221	5.44236e-215	6.77521e-051	1
3.31	13	3.60555	1.54043e-050	1.76954e-162	3.60879e-220	3.07192e-214	1.54043e-050	1
3.32	11	3.31662	2.32028e-050	5.0799e-162	1.09078e-219	7.29005e-214	2.32028e-050	1
3.34	9	3	5.25315e-050	4.16803e-161	9.92962e-219	4.09627e-213	5.25315e-050	1
3.36	17	4.12311	1.18596e-049	3.39983e-160	8.99599e-218	2.29477e-212	1.18596e-049	1
3.37	18	4.24264	1.78007e-049	9.68869e-160	2.70289e-217	5.42528e-212	1.78007e-049	1
3.39	18	4.24264	4.00173e-049	7.83372e-159	2.43124e-216	3.02558e-211	4.00173e-049	1
3.4	12	3.4641	5.99368e-049	2.22261e-158	7.27861e-216	7.13691e-211	5.99368e-049	1
3.42	22	4.69042	1.34173e-048	1.78132e-157	6.50026e-215	3.96216e-210	1.34173e-048	1
3.43	24	4.89898	2.00535e-048	5.03182e-157	1.93907e-214	9.32507e-210	2.00535e-048	1
3.45	14	3.74166	4.47012e-048	3.99742e-156	1.71933e-213	5.15359e-209	4.47012e-048	1
3.47	7	2.64575	9.93625e-048	3.15708e-155	1.51721e-212	2.83961e-208	9.93625e-048	1
3.48	11	3.31662	1.47984e-047	8.85284e-155	4.49895e-212	6.65798e-208	1.47984e-047	1
3.5	8	2.82843	3.2755e-047	6.93049e-154	3.94168e-211	3.65198e-207	3.2755e-047	1
3.51	13	3.60555	4.86797e-047	1.93486e-153	1.16463e-210	8.54337e-207	4.86797e-047	1
