# exported by fityk 0.8.7
#7-Ti:x	7-Ti:y	7-Ti:s	7-Ti:F(x)	7-Ti:%_1(x)	7-Ti:%_2(x)	7-Ti:%_3(x)	7-Ti:%_4(x)	7-Ti:a
4.08	221	14.8661	267.636	266.789	5.52385e-013	0.846975	1.23179e-172	1
4.1	294	17.1464	302.547	301.778	9.32132e-013	0.768178	3.18465e-175	1
4.11	266	16.3095	321.031	320.3	1.20882e-012	0.731226	1.59269e-176	1
4.13	370	19.2354	360.005	359.343	2.02609e-012	0.661941	3.85375e-179	1
4.15	359	18.9473	401.542	400.943	3.38062e-012	0.598462	8.92185e-182	1
4.16	384	19.5959	423.216	422.647	4.35944e-012	0.568773	4.22228e-183	1
4.18	491	22.1585	468.232	467.719	7.22488e-012	0.513253	9.1484e-186	1
4.19	460	21.4476	491.504	491.017	9.28531e-012	0.487329	4.18843e-187	1
4.21	546	23.3666	539.373	538.934	1.52847e-011	0.438925	8.4933e-190	1
4.23	614	24.779	588.691	588.297	2.50473e-011	0.394829	1.64786e-192	1
4.24	619	24.8797	613.762	613.387	3.20094e-011	0.374293	7.13917e-194	1
4.26	639	25.2784	664.428	664.092	5.21004e-011	0.336052	1.29634e-196	1
4.27	703	26.5141	689.896	689.578	6.63573e-011	0.318271	5.43325e-198	1
4.29	763	27.6225	740.758	740.473	1.07279e-010	0.285211	9.23331e-201	1
4.3	795	28.1957	766.008	765.738	1.36174e-010	0.269864	3.7438e-202	1
4.32	958	30.9516	815.769	815.528	2.18665e-010	0.241374	5.95439e-205	1
4.34	787	28.0535	864.027	863.811	3.49549e-010	0.215618	9.06107e-208	1
4.35	957	30.9354	887.394	887.191	4.41203e-010	0.203693	3.47662e-209	1
4.37	958	30.9516	932.211	932.029	7.00532e-010	0.181613	4.95139e-212	1
4.38	1093	33.0606	953.503	953.332	8.81229e-010	0.171406	1.83789e-213	1
4.4	1059	32.5423	993.473	993.32	1.38976e-009	0.152536	2.44971e-216	1
4.42	1140	33.7639	1029.47	1029.33	2.18189e-009	0.135572	3.12413e-219	1
4.43	1158	34.0294	1045.81	1045.68	2.72926e-009	0.12775	1.09735e-220	1
4.45	1208	34.7563	1074.84	1074.72	4.25598e-009	0.113327	1.30974e-223	1
4.46	1135	33.6898	1087.42	1087.31	5.30569e-009	0.106687	4.45054e-225	1
4.48	1181	34.3657	1108.47	1108.38	8.21784e-009	0.0944627	4.97143e-228	1
