# exported by fityk 0.8.7
#9-X:x	9-X:y	9-X:s	9-X:F(x)	9-X:%_1(x)	9-X:%_2(x)	9-X:%_3(x)	9-X:a
5.24	41	6.40312	0.303259	0.303259	1.31994e-081	7.71716e-037	1
5.25	35	5.91608	0.344278	0.344278	3.24241e-081	1.33681e-036	1
5.27	28	5.2915	0.442209	0.442209	1.9443e-080	3.99159e-036	1
5.29	27	5.19615	0.565435	0.565435	1.15615e-079	1.184e-035	1
5.3	27	5.19615	0.638298	0.638298	2.81042e-079	2.03412e-035	1
5.32	33	5.74456	0.810647	0.810647	1.65026e-078	5.97414e-035	1
5.33	36	6	0.912011	0.912011	3.98637e-078	1.02129e-034	1
5.35	32	5.65685	1.15044	1.15044	2.31148e-077	2.9699e-034	1
5.36	28	5.2915	1.2899	1.2899	5.54856e-077	5.052e-034	1
5.38	26	5.09902	1.61612	1.61612	3.17706e-076	1.45463e-033	1
5.4	31	5.56776	2.01571	2.01571	1.80395e-075	4.16074e-033	1
5.41	26	5.09902	2.24733	2.24733	4.28507e-075	7.01945e-033	1
5.43	28	5.2915	2.78403	2.78403	2.40264e-074	1.988e-032	1
5.44	28	5.2915	3.09344	3.09344	5.67137e-074	3.33731e-032	1
5.46	26	5.09902	3.8063	3.8063	3.14016e-073	9.35846e-032	1
5.48	22	4.69042	4.6623	4.6623	1.72413e-072	2.60701e-031	1
5.49	23	4.79583	5.15124	5.15124	4.02727e-072	4.34045e-031	1
5.51	32	5.65685	6.26705	6.26705	2.18353e-071	1.1972e-030	1
5.52	34	5.83095	6.90085	6.90085	5.06836e-071	1.98338e-030	1
5.54	30	5.47723	8.33888	8.33888	2.71362e-070	5.41669e-030	1
5.55	20	4.47214	9.15111	9.15111	6.25925e-070	8.92937e-030	1
5.57	28	5.2915	10.9833	10.9833	3.30929e-069	2.41459e-029	1
5.59	39	6.245	13.1229	13.1229	1.73501e-068	6.48626e-029	1
5.6	39	6.245	14.3199	14.3199	3.96021e-068	1.06046e-028	1
5.62	24	4.89898	16.9938	16.9938	2.0503e-067	2.82059e-028	1
5.63	34	5.83095	18.4811	18.4811	4.6505e-067	4.58867e-028	1
5.65	31	5.56776	21.7837	21.7837	2.37756e-066	1.20845e-027	1
5.67	43	6.55744	25.5606	25.5606	1.20536e-065	3.16154e-027	1
5.68	36	6	27.641	27.641	2.70546e-065	5.10103e-027	1
5.7	39	6.245	32.2142	32.2142	1.35444e-064	1.32137e-026	1
5.71	41	6.40312	34.7183	34.7183	3.02099e-064	2.12144e-026	1
5.73	39	6.245	40.1889	40.1889	1.49348e-063	5.44115e-026	1
5.74	52	7.2111	43.1662	43.1662	3.31021e-063	8.69249e-026	1
5.76	54	7.34847	49.6301	49.6301	1.61598e-062	2.20749e-025	1
5.78	53	7.28011	56.8046	56.8046	7.82296e-062	5.56909e-025	1
5.79	47	6.85565	60.6688	60.6688	1.71582e-061	8.82369e-025	1
5.81	60	7.74597	68.9696	68.9696	8.20234e-061	2.20409e-024	1
5.82	48	6.9282	73.412	73.412	1.78774e-060	3.47491e-024	1
5.84	87	9.32738	82.8921	82.8921	8.43922e-060	8.59443e-024	1
