Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
282.83	-3.8794
282.67	-3.8809
282.50	-3.8822
282.33	-3.8837
282.17	-3.8853
282.00	-3.8865
281.83	-3.8877
281.67	-3.8890
281.50	-3.8902
281.33	-3.8914
281.17	-3.8927
281.00	-3.8936
280.83	-3.8945
280.67	-3.8955
280.50	-3.8967
280.33	-3.8976
280.17	-3.8985
280.00	-3.8995
279.83	-3.9007
279.67	-3.9019
279.50	-3.9032
279.33	-3.9044
279.17	-3.9056
279.00	-3.9069
278.83	-3.9081
278.67	-3.9093
278.50	-3.9106
278.33	-3.9118
278.17	-3.9127
278.00	-3.9140
277.83	-3.9149
277.67	-3.9161
277.50	-3.9171
277.33	-3.9180
277.17	-3.9192
277.00	-3.9201
276.83	-3.9214
276.67	-3.9223
276.50	-3.9232
276.33	-3.9242
276.17	-3.9251
276.00	-3.9260
275.83	-3.9272
275.67	-3.9282
275.50	-3.9294
275.33	-3.9303
275.17	-3.9316
275.00	-3.9325
274.83	-3.9337
274.67	-3.9350
274.50	-3.9362
274.33	-3.9374
274.17	-3.9390
274.00	-3.9402
273.83	-3.9418
273.67	-3.9430
273.50	-3.9445
273.33	-3.9461
273.17	-3.9473
273.00	-3.9489
272.83	-3.9501
272.67	-3.9516
272.50	-3.9529
272.33	-3.9541
272.17	-3.9553
272.00	-3.9566
271.83	-3.9578
271.67	-3.9587
271.50	-3.9600
271.33	-3.9615
271.17	-3.9627
271.00	-3.9640
270.83	-3.9655
270.67	-3.9668
270.50	-3.9683
270.33	-3.9695
270.17	-3.9708
270.00	-3.9720
269.83	-3.9732
269.67	-3.9742
269.50	-3.9754
269.33	-3.9763
269.17	-3.9773
269.00	-3.9782
268.83	-3.9788
268.67	-3.9797
268.50	-3.9807
268.33	-3.9816
268.17	-3.9825
268.00	-3.9834
267.83	-3.9844
267.67	-3.9850
267.50	-3.9859
267.33	-3.9865
267.17	-3.9874
267.00	-3.9884
266.83	-3.9893
266.67	-3.9899
266.50	-3.9911
266.33	-3.9921
266.17	-3.9930
266.00	-3.9939
265.83	-3.9949
265.67	-3.9958
265.50	-3.9967
265.33	-3.9976
265.17	-3.9986
265.00	-3.9995
264.83	-4.0004
264.67	-4.0016
264.50	-4.0026
264.33	-4.0038
264.17	-4.0047
264.00	-4.0053
263.83	-4.0057
263.67	-4.0057
