Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
185.17	1.8432
185.34	1.8420
185.50	1.8405
185.67	1.8392
185.84	1.8377
186.00	1.8361
186.17	1.8349
186.34	1.8334
186.50	1.8321
186.67	1.8309
186.84	1.8296
187.00	1.8284
187.17	1.8272
187.34	1.8263
187.50	1.8250
187.67	1.8238
187.84	1.8225
188.00	1.8213
188.17	1.8204
188.34	1.8192
188.50	1.8182
188.67	1.8170
188.84	1.8161
189.00	1.8148
189.17	1.8139
189.34	1.8127
189.50	1.8114
189.67	1.8102
189.84	1.8087
190.00	1.8074
190.17	1.8059
190.34	1.8046
190.50	1.8034
190.67	1.8019
190.84	1.8006
191.00	1.7994
191.17	1.7982
191.34	1.7969
191.50	1.7954
191.67	1.7941
191.84	1.7929
192.00	1.7914
192.17	1.7904
192.34	1.7892
192.50	1.7883
192.67	1.7874
192.84	1.7864
193.00	1.7855
193.17	1.7846
193.34	1.7837
193.50	1.7827
193.67	1.7815
193.84	1.7803
194.00	1.7790
194.17	1.7778
194.34	1.7762
194.50	1.7750
194.67	1.7735
194.84	1.7722
195.00	1.7707
195.17	1.7695
195.34	1.7682
195.50	1.7670
195.67	1.7661
195.84	1.7648
196.00	1.7639
196.17	1.7630
196.34	1.7617
196.50	1.7608
196.67	1.7596
196.84	1.7583
197.00	1.7571
197.17	1.7556
197.34	1.7543
197.50	1.7528
197.67	1.7512
197.84	1.7497
198.00	1.7485
198.17	1.7469
198.34	1.7454
198.50	1.7441
198.67	1.7426
198.84	1.7417
199.00	1.7407
199.17	1.7398
199.34	1.7389
199.50	1.7383
199.67	1.7370
199.84	1.7361
200.00	1.7349
200.17	1.7336
200.34	1.7324
200.50	1.7312
200.67	1.7299
200.84	1.7287
201.00	1.7275
201.17	1.7265
201.34	1.7253
201.50	1.7244
201.67	1.7231
201.84	1.7219
202.00	1.7210
202.17	1.7198
202.34	1.7185
202.50	1.7173
202.67	1.7160
