Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\Pd-Ni-P_100k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
393.67	4.2554
394.00	4.2001
394.33	4.1435
394.67	4.0844
395.00	4.0238
395.33	3.9614
395.67	3.8964
396.00	3.8299
396.33	3.7616
396.67	3.6917
397.00	3.6200
397.33	3.5467
397.67	3.4712
398.00	3.3939
398.33	3.3129
398.67	3.2288
399.00	3.1400
399.33	3.0457
399.67	2.9455
400.00	2.8385
400.33	2.7238
400.67	2.6010
401.00	2.4705
401.33	2.3320
401.67	2.1857
402.00	2.0326
402.33	1.8728
402.67	1.7067
403.00	1.5335
403.33	1.3542
403.67	1.1683
404.00	0.9757
404.33	0.7756
404.67	0.5681
405.00	0.3516
405.33	0.1262
405.67	-0.1092
406.00	-0.3547
406.33	-0.6114
406.67	-0.8804
407.00	-1.1624
407.33	-1.4581
407.67	-1.7688
408.00	-2.0954
408.33	-2.4390
408.67	-2.7995
409.00	-3.1790
409.33	-3.5770
409.67	-3.9951
410.00	-4.4333
410.33	-4.8925
410.67	-5.3727
411.00	-5.8743
411.33	-6.3982
411.67	-6.9443
412.00	-7.5136
412.33	-8.1064
412.67	-8.7236
413.00	-9.3656
413.33	-10.0339
413.67	-10.7291
414.00	-11.4521
414.33	-12.2041
414.67	-12.9871
415.00	-13.8020
415.33	-14.6511
415.67	-15.5353
416.00	-16.4574
416.33	-17.4191
416.67	-18.4226
417.00	-19.4706
417.33	-20.5653
417.67	-21.7098
418.00	-22.9060
418.33	-24.1578
418.67	-25.4677
419.00	-26.8389
419.33	-28.2744
419.67	-29.7763
420.00	-31.3485
420.33	-32.9924
420.67	-34.7096
421.00	-36.5014
421.33	-38.3667
421.67	-40.3032
422.00	-42.3070
422.33	-44.3709
422.67	-46.4858
423.00	-48.6409
423.33	-50.8222
423.67	-53.0154
424.00	-55.2039
424.33	-57.3722
424.67	-59.5035
425.00	-61.5810
425.33	-63.5870
425.67	-65.5049
426.00	-67.3164
426.33	-69.0040
426.67	-70.5508
427.00	-71.9414
427.33	-73.1642
427.67	-74.2100
428.00	-75.0731
428.33	-75.7537
428.67	-76.2553
429.00	-76.5850
429.33	-76.7554
429.67	-76.7801
430.00	-76.6771
430.33	-76.4641
430.67	-76.1613
431.00	-75.7884
431.33	-75.3650
431.67	-74.9089
432.00	-74.4358
432.33	-73.9571
432.67	-73.4808
433.00	-73.0099
433.33	-72.5407
433.67	-72.0651
434.00	-71.5685
434.33	-71.0329
434.67	-70.4361
435.00	-69.7539
435.33	-68.9616
435.67	-68.0348
436.00	-66.9519
436.33	-65.6939
436.67	-64.2463
437.00	-62.6015
437.33	-60.7575
437.67	-58.7196
438.00	-56.4996
438.33	-54.1169
438.67	-51.5957
439.00	-48.9643
439.33	-46.2545
439.67	-43.4982
440.00	-40.7277
440.33	-37.9737
440.67	-35.2638
441.00	-32.6229
441.33	-30.0717
441.67	-27.6271
442.00	-25.3026
442.33	-23.1073
442.67	-21.0481
443.00	-19.1277
443.33	-17.3493
443.67	-15.7112
444.00	-14.2117
444.33	-12.8443
444.67	-11.6020
445.00	-10.4770
445.33	-9.4609
445.67	-8.5455
446.00	-7.7233
446.33	-6.9860
446.67	-6.3267
447.00	-5.7389
447.33	-5.2156
447.67	-4.7515
448.00	-4.3405
448.33	-3.9784
448.67	-3.6602
449.00	-3.3815
449.33	-3.1391
449.67	-2.9291
450.00	-2.7485
450.33	-2.5948
450.67	-2.4653
451.00	-2.3576
451.33	-2.2698
451.67	-2.2005
452.00	-2.1477
452.33	-2.1099
452.67	-2.0864
453.00	-2.0762
453.33	-2.0781
453.67	-2.0923
454.00	-2.1171
454.33	-2.1523
454.67	-2.1984
455.00	-2.2534
455.33	-2.3187
455.67	-2.3932
456.00	-2.4773
456.33	-2.5707
456.67	-2.6728
457.00	-2.7841
457.33	-2.9047
457.67	-3.0336
458.00	-3.1722
458.33	-3.3194
458.67	-3.4755
459.00	-3.6410
459.33	-3.8154
459.67	-3.9988
460.00	-4.1914
460.33	-4.3931
460.67	-4.6043
461.00	-4.8244
461.33	-5.0542
461.67	-5.2923
462.00	-5.5400
462.33	-5.7964
462.67	-6.0614
463.00	-6.3348
463.33	-6.6165
463.67	-6.9066
464.00	-7.2047
464.33	-7.5105
464.67	-7.8238
465.00	-8.1435
465.33	-8.4698
465.67	-8.8019
466.00	-9.1386
466.33	-9.4800
466.67	-9.8248
467.00	-10.1721
467.33	-10.5212
467.67	-10.8707
468.00	-11.2198
468.33	-11.5677
468.67	-11.9122
469.00	-12.2527
469.33	-12.5885
469.67	-12.9172
470.00	-13.2376
470.33	-13.5484
470.67	-13.8477
471.00	-14.1344
471.33	-14.4068
471.67	-14.6632
472.00	-14.9026
472.33	-15.1237
472.67	-15.3250
473.00	-15.5053
473.33	-15.6636
473.67	-15.7990
474.00	-15.9110
474.33	-15.9982
474.67	-16.0610
475.00	-16.0984
475.33	-16.1104
475.67	-16.0971
476.00	-16.0585
476.33	-15.9948
476.67	-15.9067
477.00	-15.7947
477.33	-15.6593
477.67	-15.5015
478.00	-15.3225
478.33	-15.1230
478.67	-14.9047
479.00	-14.6688
479.33	-14.4167
479.67	-14.1505
480.00	-13.8719
480.33	-13.5812
480.67	-13.2812
481.00	-12.9720
481.33	-12.6562
481.67	-12.3346
482.00	-12.0090
482.33	-11.6803
482.67	-11.3500
483.00	-11.0194
483.33	-10.6892
483.67	-10.3608
484.00	-10.0345
484.33	-9.7117
484.67	-9.3931
485.00	-9.0790
485.33	-8.7703
485.67	-8.4673
486.00	-8.1707
486.33	-7.8807
486.67	-7.5980
487.00	-7.3228
487.33	-7.0553
487.67	-6.7958
488.00	-6.5447
488.33	-6.3014
488.67	-6.0670
489.00	-5.8403
489.33	-5.6223
489.67	-5.4126
490.00	-5.2104
490.33	-5.0168
490.67	-4.8306
491.00	-4.6522
491.33	-4.4812
491.67	-4.3173
492.00	-4.1608
492.33	-4.0115
492.67	-3.8689
493.00	-3.7328
493.33	-3.6036
493.67	-3.4805
494.00	-3.3636
494.33	-3.2526
494.67	-3.1468
495.00	-3.0466
495.33	-2.9508
495.67	-2.8602
496.00	-2.7736
496.33	-2.6913
496.67	-2.6131
497.00	-2.5382
497.33	-2.4668
497.67	-2.3988
498.00	-2.3335
498.33	-2.2711
498.67	-2.2117
499.00	-2.1545
499.33	-2.1004
499.67	-2.0484
500.00	-1.9995
500.33	-1.9532
500.67	-1.9089
501.00	-1.8666
501.33	-1.8264
501.67	-1.7877
502.00	-1.7509
502.33	-1.7154
502.67	-1.6820
503.00	-1.6501
503.33	-1.6189
503.67	-1.5901
504.00	-1.5620
504.33	-1.5351
504.67	-1.5091
505.00	-1.4843
505.33	-1.4602
505.67	-1.4367
506.00	-1.4138
506.33	-1.3913
506.67	-1.3690
507.00	-1.3477
507.33	-1.3266
507.67	-1.3059
508.00	-1.2855
508.33	-1.2651
508.67	-1.2447
509.00	-1.2246
509.33	-1.2048
509.67	-1.1850
510.00	-1.1649
510.33	-1.1451
510.67	-1.1253
511.00	-1.1055
511.33	-1.0854
511.67	-1.0656
512.00	-1.0462
512.33	-1.0273
512.67	-1.0087
513.00	-0.9908
513.33	-0.9729
513.67	-0.9555
514.00	-0.9376
514.33	-0.9197
514.67	-0.9024
515.00	-0.8844
515.33	-0.8665
515.67	-0.8492
516.00	-0.8315
516.33	-0.8142
516.67	-0.7969
517.00	-0.7793
517.33	-0.7610
517.67	-0.7419
518.00	-0.7221
518.33	-0.7014
518.67	-0.6803
519.00	-0.6587
519.33	-0.6367
519.67	-0.6138
520.00	-0.5903
520.33	-0.5659
520.67	-0.5409
521.00	-0.5146
521.33	-0.4877
521.67	-0.4598
522.00	-0.4311
522.33	-0.4020
522.67	-0.3726
523.00	-0.3426
523.33	-0.3120
523.67	-0.2808
524.00	-0.2489
524.33	-0.2158
524.67	-0.1818
525.00	-0.1469
525.33	-0.1110
525.67	-0.0733
526.00	-0.0343
526.33	0.0062
526.67	0.0482
527.00	0.0922
527.33	0.1373
527.67	0.1846
528.00	0.2338
528.33	0.2848
528.67	0.3386
529.00	0.3943
529.33	0.4524
529.67	0.5127
530.00	0.5755
530.33	0.6401
530.67	0.7075
531.00	0.7768
531.33	0.8489
531.67	0.9231
532.00	1.0004
532.33	1.0805
532.67	1.1637
533.00	1.2493
533.33	1.3378
533.67	1.4290
534.00	1.5230
534.33	1.6201
534.67	1.7191
535.00	1.8205
535.33	1.9238
535.67	2.0289
536.00	2.1356
536.33	2.2432
536.67	2.3515
537.00	2.4591
537.33	2.5664
537.67	2.6724
538.00	2.7764
538.33	2.8787
538.67	2.9777
539.00	3.0735
539.33	3.1654
539.67	3.2523
540.00	3.3333
540.33	3.4081
540.67	3.4752
541.00	3.5343
541.33	3.5841
541.67	3.6246
542.00	3.6546
542.33	3.6744
542.67	3.6830
543.00	3.6803
543.33	3.6660
543.67	3.6407
544.00	3.6036
544.33	3.5550
544.67	3.4956
545.00	3.4261
545.33	3.3466
545.67	3.2591
546.00	3.1641
546.33	3.0627
546.67	2.9560
547.00	2.8456
547.33	2.7324
547.67	2.6168
548.00	2.5011
548.33	2.3855
548.67	2.2707
549.00	2.1576
549.33	2.0472
549.67	1.9395
550.00	1.8360
