# exported by fityk 0.8.7
#13-X:x	13-X:y	13-X:s	13-X:F(x)	13-X:%_1(x)	13-X:%_2(x)	13-X:%_3(x)	13-X:%_4(x)	13-X:%_6(x)	13-X:a
2.9	8	2.82843	0.0955177	2.42929e-086	0	0.0955177	3.72806e-126	0	1
2.91	9	3	0.103443	5.39791e-086	0	0.103443	9.94062e-126	0	1
2.93	14	3.74166	0.121164	2.65262e-085	0	0.121164	7.03296e-125	0	1
2.94	10	3.16228	0.131047	5.86651e-085	0	0.131047	1.86609e-124	0	1
2.96	15	3.87298	0.153097	2.85592e-084	0	0.153097	1.30733e-123	0	1
2.98	13	3.60555	0.178549	1.38163e-083	0	0.178549	9.09885e-123	0	1
2.99	17	4.12311	0.192695	3.03175e-083	0	0.192695	2.39453e-122	0	1
3.01	12	3.4641	0.224146	1.45296e-082	0	0.224146	1.65025e-121	0	1
3.02	22	4.69042	0.241591	3.17333e-082	0	0.241591	4.3216e-121	0	1
3.04	10	3.16228	0.280294	1.50659e-081	0	0.280294	2.94918e-120	0	1
3.05	21	4.58258	0.301715	3.27501e-081	0	0.301715	7.6853e-120	0	1
3.07	7	2.64575	0.349142	1.54031e-080	0	0.349142	5.1933e-119	0	1
3.09	10	3.16228	0.403323	7.19918e-080	0	0.403323	3.4864e-118	0	1
3.1	11	3.31662	0.433209	1.55274e-079	0	0.433209	9.01105e-118	0	1
3.12	16	4	0.499138	7.18937e-079	0	0.499138	5.99012e-117	0	1
3.13	11	3.31662	0.535426	1.54335e-078	0	0.535426	1.54063e-116	0	1
3.15	9	3	0.615311	7.07903e-078	0	0.615311	1.01411e-115	0	1
3.17	12	3.4641	0.705889	3.22671e-077	0	0.705889	6.63167e-115	0	1
3.18	12	3.4641	0.755571	6.87278e-077	0	0.755571	1.6917e-114	0	1
3.2	14	3.74166	0.864548	3.10338e-076	0	0.864548	1.09544e-113	0	1
3.21	13	3.60555	0.924195	6.5791e-076	0	0.924195	2.78069e-113	0	1
3.23	18	4.24264	1.05475	2.94298e-075	0	1.05475	1.78297e-112	0	1
3.24	12	3.4641	1.12605	6.20978e-075	0	1.12605	4.50372e-112	0	1
3.26	13	3.60555	1.28179	2.75178e-074	0	1.28179	2.8595e-111	0	1
3.28	20	4.47214	1.45653	1.21179e-073	0	1.45653	1.80368e-110	0	1
3.29	10	3.16228	1.55164	2.53697e-073	0	1.55164	4.51882e-110	0	1
3.31	14	3.74166	1.75859	1.10675e-072	0	1.75859	2.82242e-109	0	1
3.32	7	2.64575	1.87099	2.30618e-072	0	1.87099	7.03641e-109	0	1
3.34	7	2.64575	2.11504	9.96651e-072	0	2.11504	4.35185e-108	0	1
3.36	9	3	2.38678	4.28026e-071	0	2.38678	2.67391e-107	0	1
3.37	9	3	2.53383	8.8494e-071	0	2.53383	6.61174e-107	0	1
3.39	13	3.60555	2.85196	3.76494e-070	0	2.85196	4.02269e-106	0	1
3.4	19	4.3589	3.02374	7.74747e-070	0	3.02374	9.89802e-106	0	1
3.42	8	2.82843	3.39454	3.26529e-069	0	3.39454	5.96315e-105	0	1
3.43	12	3.4641	3.59433	6.68777e-069	0	3.59433	1.46006e-104	0	1
3.45	10	3.16228	4.02463	2.79229e-068	0	4.02463	8.71013e-104	0	1
3.47	16	4	4.49866	1.15856e-067	0	4.49866	5.16214e-103	0	1
3.48	7	2.64575	4.75312	2.35437e-067	0	4.75312	1.25361e-102	0	1
3.5	17	4.12311	5.29915	9.67717e-067	0	5.29915	7.3569e-102	0	1
3.51	15	3.87298	5.59163	1.95733e-066	0	5.59163	1.77784e-101	0	1
3.53	16	4	6.21781	7.96994e-066	0	6.21781	1.03312e-100	0	1
3.54	9	3	6.55247	1.60446e-065	0	6.55247	2.48434e-100	0	1
3.56	16	4	7.26734	6.47199e-065	0	7.26734	1.42954e-099	0	1
3.58	16	4	8.04625	2.59432e-064	0	8.04625	8.17208e-099	0	1
3.59	10	3.16228	8.46098	5.18198e-064	0	8.46098	1.94909e-098	0	1
3.61	12	3.4641	9.34352	2.05778e-063	0	9.34352	1.1033e-097	0	1
3.62	14	3.74166	9.81235	4.091e-063	0	9.81235	2.61853e-097	0	1
3.64	15	3.87298	10.8077	1.60935e-062	0	10.8077	1.46773e-096	0	1
3.66	8	2.82843	11.8835	6.2914e-062	0	11.8835	8.17312e-096	0	1
3.67	15	3.87298	12.4527	1.24101e-061	0	12.4527	1.92393e-095	0	1
3.69	16	4	13.6567	4.80608e-061	0	13.6567	1.06086e-094	0	1
3.7	9	3	14.2923	9.43577e-061	0	14.2923	2.48497e-094	0	1
3.72	17	4.12311	15.6334	3.62001e-060	0	15.6334	1.3568e-093	0	1
3.73	21	4.58258	16.3398	7.07384e-060	0	16.3398	3.1626e-093	0	1
3.75	20	4.47214	17.8267	2.68846e-059	0	17.8267	1.70988e-092	0	1
3.77	11	3.31662	19.4152	1.01539e-058	0	19.4152	9.1841e-092	0	1
3.78	15	3.87298	20.2486	1.96868e-058	0	20.2486	2.12326e-091	0	1
3.8	19	4.3589	21.9956	7.36577e-058	0	21.9956	1.12928e-090	0	1
3.81	13	3.60555	22.91	1.42141e-057	0	22.91	2.59796e-090	0	1
3.83	22	4.69042	24.8221	5.26843e-057	0	24.8221	1.36823e-089	0	1
3.85	17	4.12311	26.8472	1.94053e-056	0	26.8472	7.1587e-089	0	1
3.86	20	4.47214	27.9028	3.71552e-056	0	27.9028	1.63344e-088	0	1
3.88	22	4.69042	30.1009	1.35574e-055	0	30.1009	8.46265e-088	0	1
3.89	24	4.89898	31.2438	2.58365e-055	0	31.2438	1.9215e-087	0	1
3.91	31	5.56776	33.6177	9.33913e-055	0	33.6177	9.85755e-087	0	1
3.92	19	4.3589	34.8488	1.77142e-054	0	34.8488	2.22723e-086	0	1
3.94	14	3.74166	37.3992	6.34327e-054	0	37.3992	1.13141e-085	0	1
3.96	31	5.56776	40.0669	2.25726e-053	0	40.0669	5.7099e-085	0	1
3.97	22	4.69042	41.4443	4.2481e-053	0	41.4443	1.27957e-084	0	1
3.99	22	4.69042	44.2852	1.49755e-052	0	44.2852	6.39437e-084	0	1
4	32	5.65685	45.7482	2.80513e-052	0	45.7482	1.42592e-083	0	1
4.02	40	6.32456	48.7572	9.79615e-052	0	48.7572	7.05597e-083	0	1
4.04	37	6.08276	51.8743	3.39966e-051	0	51.8743	3.46871e-082	0	1
4.05	42	6.48074	53.4721	6.31838e-051	0	53.4721	7.67195e-082	0	1
4.07	59	7.68115	56.7429	2.17222e-050	0	56.7429	3.7346e-081	0	1
4.08	59	7.68115	58.4146	4.0182e-050	0	58.4146	8.2195e-081	0	1
4.1	57	7.54983	61.8269	1.3685e-049	0	61.8269	3.96196e-080	0	1
4.11	51	7.14143	63.5658	2.51961e-049	0	63.5658	8.67709e-080	0	1
4.13	67	8.18535	67.1044	8.50089e-049	0	67.1044	4.14158e-079	0	1
4.15	68	8.24621	70.7174	2.85019e-048	0	70.7174	1.96385e-078	0	1
4.16	81	9	72.549	5.20665e-048	0	72.549	4.26591e-078	0	1
4.18	77	8.77496	76.2567	1.72936e-047	0	76.2567	2.003e-077	0	1
4.19	76	8.7178	78.1302	3.14433e-047	0	78.1302	4.3296e-077	0	1
4.21	79	8.88819	81.91	1.0346e-046	0	81.91	2.013e-076	0	1
4.23	76	8.7178	85.724	3.38294e-046	0	85.724	9.29803e-076	0	1
4.24	80	8.94427	87.6401	6.10287e-046	0	87.6401	1.99341e-075	0	1
4.26	90	9.48683	91.4829	1.97685e-045	0	91.4829	9.11738e-075	0	1
4.27	123	11.0905	93.4063	3.54954e-045	0	93.4063	1.94509e-074	0	1
4.29	120	10.9545	97.2489	1.13901e-044	0	97.2489	8.80926e-074	0	1
4.3	119	10.9087	99.1646	2.03557e-044	0	99.1646	1.87013e-073	0	1
4.32	144	12	102.976	6.47081e-044	0	102.976	8.38684e-073	0	1
4.34	100	10	106.749	2.04414e-043	0	106.749	3.7366e-072	0	1
4.35	124	11.1355	108.616	3.62464e-043	0	108.616	7.8677e-072	0	1
4.37	137	11.7047	112.304	1.13431e-042	0	112.304	3.47099e-071	0	1
4.38	139	11.7898	114.12	2.00192e-042	0	114.12	7.27255e-071	0	1
4.4	155	12.4499	117.688	6.20628e-042	0	117.688	3.17701e-070	0	1
4.42	138	11.7473	121.157	1.91203e-041	0	121.157	1.3788e-069	0	1
4.43	161	12.6886	122.85	3.34815e-041	0	122.85	2.86533e-069	0	1
4.45	141	11.8743	126.144	1.02185e-040	0	126.144	1.23136e-068	0	1
4.46	115	10.7238	127.74	1.78096e-040	0	127.74	2.54636e-068	0	1
4.48	152	12.3288	130.824	5.38459e-040	0	130.824	1.08357e-067	0	1
4.49	170	13.0384	132.308	9.34072e-040	0	132.308	2.22975e-067	0	1
4.51	146	12.083	135.151	2.79766e-039	1.27172e-320	135.151	9.39549e-067	0	1
4.53	166	12.8841	137.815	8.32698e-039	2.50679e-319	137.815	3.93308e-066	0	1
4.54	163	12.7671	139.077	1.43322e-038	1.04995e-318	139.077	8.02734e-066	0	1
4.56	164	12.8062	141.451	4.22593e-038	1.82124e-317	141.451	3.32746e-065	0	1
4.57	229	15.1327	142.561	7.23946e-038	7.56889e-317	142.561	6.75794e-065	0	1
4.59	158	12.5698	144.618	2.11462e-037	1.30187e-315	144.618	2.77384e-064	0	1
4.6	188	13.7113	145.563	3.60558e-037	5.38802e-315	145.563	5.60592e-064	0	1
4.62	173	13.1529	147.281	1.04332e-036	9.19084e-314	147.281	2.27846e-063	0	1
4.64	178	13.3417	148.76	3.00013e-036	1.55913e-312	148.76	9.19996e-063	0	1
4.65	177	13.3041	149.409	5.07552e-036	6.40833e-312	149.409	1.84412e-062	0	1
4.67	169	13	150.518	1.44584e-035	1.07813e-310	150.518	7.3733e-062	0	1
4.68	184	13.5647	150.978	2.43455e-035	4.41301e-310	150.978	1.47072e-061	0	1
4.7	194	13.9284	151.704	6.87027e-035	7.36313e-309	151.704	5.82275e-061	0	1
4.72	165	12.8452	152.17	1.92667e-034	1.22177e-307	152.17	2.29022e-060	0	1
4.73	183	13.5277	152.304	3.21887e-034	4.96654e-307	152.304	4.53089e-060	0	1
4.75	166	12.8841	152.376	8.94241e-034	8.17302e-306	152.376	1.76466e-059	0	1
4.76	186	13.6382	152.313	1.48699e-033	3.30862e-305	152.313	3.474e-059	0	1
4.78	167	12.9228	151.988	4.09239e-033	5.39977e-304	151.988	1.33978e-058	0	1
4.79	141	11.8743	151.728	6.77314e-033	2.17691e-303	151.728	2.62462e-058	0	1
4.81	159	12.6095	151.012	1.84661e-032	3.52345e-302	151.012	1.00229e-057	0	1
4.83	252	15.8745	150.039	5.00309e-032	5.6715e-301	150.039	3.80256e-057	0	1
4.84	155	12.4499	149.458	8.21578e-032	2.27072e-300	149.458	7.38836e-057	0	1
4.86	151	12.2882	148.11	2.2051e-031	3.62487e-299	148.11	2.77559e-056	0	1
4.87	144	12	147.345	3.60411e-031	1.4453e-298	147.345	5.3665e-056	0	1
4.89	135	11.619	145.637	9.58286e-031	2.28817e-297	145.637	1.9963e-055	0	1
4.91	137	11.7047	143.7	2.53204e-030	3.60262e-296	143.7	7.37751e-055	0	1
4.92	151	12.2882	142.648	4.10617e-030	1.42654e-295	142.648	1.41476e-054	0	1
4.94	149	12.2066	140.385	1.0748e-029	2.22749e-294	140.385	5.17721e-054	0	1
4.95	137	11.7047	139.177	1.73482e-029	8.78378e-294	139.177	9.87947e-054	0	1
4.97	121	11	136.614	4.49846e-029	1.36023e-292	136.614	3.57991e-053	0	1
4.98	148	12.1655	135.262	7.22683e-029	5.34169e-292	135.262	6.79787e-053	0	1
5	116	10.7703	132.426	1.85641e-028	8.20372e-291	132.426	2.43915e-052	0	1
5.02	118	10.8628	129.426	4.73891e-028	1.25298e-289	129.426	8.69469e-052	0	1
5.03	141	11.8743	127.868	7.5537e-028	4.88663e-289	127.868	1.63755e-051	0	1
5.05	125	11.1803	124.646	1.91021e-027	7.40189e-288	124.646	5.78012e-051	0	1
5.06	89	9.43398	122.986	3.03055e-027	2.87481e-287	122.986	1.08328e-050	0	1
5.08	109	10.4403	119.576	7.59205e-027	4.3186e-286	119.576	3.78625e-050	0	1
5.1	84	9.16515	116.06	1.89006e-026	6.45173e-285	116.06	1.31471e-049	0	1
5.11	100	10	114.266	2.97518e-026	2.48853e-284	114.266	2.44384e-049	0	1
5.13	117	10.8167	110.618	7.33747e-026	3.68704e-283	110.618	8.40272e-049	0	1
5.14	106	10.2956	108.767	1.14959e-025	1.41627e-282	108.767	1.55426e-048	0	1
5.16	93	9.64365	105.021	2.80862e-025	2.08104e-281	105.021	5.29175e-048	0	1
5.17	75	8.66025	103.13	4.37973e-025	7.96062e-281	103.13	9.7402e-048	0	1
5.19	83	9.11043	99.3195	1.06002e-024	1.16006e-279	99.3195	3.28374e-047	0	1
5.21	79	8.88819	95.4845	2.54953e-024	1.68119e-278	95.4845	1.09982e-046	0	1
5.22	60	7.74597	93.5621	3.94469e-024	6.38684e-278	93.5621	2.00783e-046	3.21143e-322	1
5.24	76	8.7178	89.7159	9.39886e-024	9.17956e-277	89.7159	6.65896e-046	7.33193e-321	1
5.25	56	7.48331	87.7955	1.44739e-023	3.47288e-276	87.7955	1.2097e-045	2.70896e-320	1
5.27	67	8.18535	83.9679	3.41638e-023	4.95024e-275	83.9679	3.97267e-045	3.60777e-319	1
5.29	69	8.30662	80.1682	8.01352e-023	7.01719e-274	80.1682	1.2961e-044	4.7545e-318	1
5.3	63	7.93725	78.2825	1.22442e-022	2.63652e-273	78.2825	2.33533e-044	1.72272e-317	1
5.32	69	8.30662	74.5461	2.84516e-022	3.70654e-272	74.5461	7.54452e-044	2.2539e-316	1
