# exported by fityk 0.8.7
#4-20-Cent:x	4-20-Cent:y	4-20-Cent:s	4-20-Cent:F(x)	4-20-Cent:%_1(x)	4-20-Cent:%_2(x)	4-20-Cent:a
2.55	24	4.89898	9.13136e-125	9.13136e-125	6.85171e-135	1
2.56	22	4.69042	2.69178e-124	2.69178e-124	1.88772e-134	1
2.58	29	5.38516	2.32516e-123	2.32516e-123	1.42591e-133	1
2.6	25	5	1.99254e-122	1.99254e-122	1.07008e-132	1
2.61	18	4.24264	5.81547e-122	5.81547e-122	2.92425e-132	1
2.63	21	4.58258	4.92434e-121	4.92434e-121	2.17315e-131	1
2.64	18	4.24264	1.42867e-120	1.42867e-120	5.90972e-131	1
2.66	19	4.3589	1.19538e-119	1.19538e-119	4.34907e-130	1
2.67	26	5.09902	3.44742e-119	3.44742e-119	1.17693e-129	1
2.69	22	4.69042	2.85021e-118	2.85021e-118	8.57693e-129	1
2.71	20	4.47214	2.33775e-117	2.33775e-117	6.20988e-128	1
2.72	23	4.79583	6.67518e-117	6.67518e-117	1.66685e-127	1
2.74	28	5.2915	5.40997e-116	5.40997e-116	1.19509e-126	1
2.75	23	4.79583	1.53555e-115	1.53555e-115	3.19222e-126	1
2.77	23	4.79583	1.22972e-114	1.22972e-114	2.26647e-125	1
2.79	26	5.09902	9.76986e-114	9.76986e-114	1.59874e-124	1
2.8	25	5	2.74556e-113	2.74556e-113	4.23573e-124	1
2.82	14	3.74166	2.15538e-112	2.15538e-112	2.95875e-123	1
2.83	15	3.87298	6.02105e-112	6.02105e-112	7.80075e-123	1
2.85	16	4	4.67061e-111	4.67061e-111	5.39596e-122	1
2.86	15	3.87298	1.29696e-110	1.29696e-110	1.41571e-121	1
2.88	20	4.47214	9.9412e-110	9.9412e-110	9.69751e-121	1
2.9	17	4.12311	7.55945e-109	7.55945e-109	6.59956e-120	1
2.91	21	4.58258	2.07835e-108	2.07835e-108	1.71744e-119	1
2.93	14	3.74166	1.56164e-107	1.56164e-107	1.15741e-118	1
2.94	26	5.09902	4.26789e-107	4.26789e-107	2.99731e-118	1
2.96	20	4.47214	3.16872e-106	3.16872e-106	2.00029e-117	1
2.98	18	4.24264	2.33397e-105	2.33397e-105	1.32624e-116	1
2.99	22	4.69042	6.31544e-105	6.31544e-105	3.40664e-116	1
3.01	26	5.09902	4.59647e-104	4.59647e-104	2.23671e-115	1
3.02	13	3.60555	1.23634e-103	1.23634e-103	5.71728e-115	1
3.04	12	3.4641	8.89136e-103	8.89136e-103	3.71729e-114	1
3.05	23	4.79583	2.37731e-102	2.37731e-102	9.45546e-114	1
3.07	18	4.24264	1.68938e-101	1.68938e-101	6.08797e-113	1
3.09	30	5.47723	1.19099e-100	1.19099e-100	3.89431e-112	1
3.1	25	5	3.15282e-100	3.15282e-100	9.82536e-112	1
3.12	19	4.3589	2.19629e-099	2.19629e-099	6.22386e-111	1
3.13	11	3.31662	5.77947e-099	5.77947e-099	1.56262e-110	1
3.15	19	4.3589	3.97821e-098	3.97821e-098	9.8021e-110	1
3.17	18	4.24264	2.71661e-097	2.71661e-097	6.10876e-109	1
3.18	21	4.58258	7.07783e-097	7.07783e-097	1.52128e-108	1
3.2	20	4.47214	4.77585e-096	4.77585e-096	9.38847e-108	1
3.21	27	5.19615	1.23688e-095	1.23688e-095	2.32663e-107	1
3.23	22	4.69042	8.24684e-095	8.24684e-095	1.42189e-106	1
3.24	16	4	2.1231e-094	2.1231e-094	3.50651e-106	1
3.26	14	3.74166	1.39875e-093	1.39875e-093	2.12211e-105	1
3.28	17	4.12311	9.14216e-093	9.14216e-093	1.27594e-104	1
3.29	15	3.87298	2.33027e-092	2.33027e-092	3.12104e-104	1
3.31	18	4.24264	1.50496e-091	1.50496e-091	1.8583e-103	1
3.32	12	3.4641	3.81318e-091	3.81318e-091	4.52336e-103	1
3.34	11	3.31662	2.43342e-090	2.43342e-090	2.66704e-102	1
3.36	24	4.89898	1.54058e-089	1.54058e-089	1.56231e-101	1
