# exported by fityk 0.8.7
#11-X:x	11-X:y	11-X:s	11-X:F(x)	11-X:%_1(x)	11-X:%_2(x)	11-X:%_4(x)	11-X:a
3.78	35	5.91608	0.00109382	1.13554e-018	1.19868e-217	0.00109382	1
3.8	30	5.47723	0.00134395	1.85155e-018	5.66511e-216	0.00134395	1
3.81	33	5.74456	0.00148863	2.36213e-018	3.87304e-215	0.00148863	1
3.83	25	5	0.00182377	3.83749e-018	1.79028e-213	0.00182377	1
3.85	35	5.91608	0.00223006	6.21913e-018	8.15388e-212	0.00223006	1
3.86	31	5.56776	0.0024642	7.90996e-018	5.47239e-211	0.0024642	1
3.88	20	4.47214	0.00300447	1.27723e-017	2.43773e-209	0.00300447	1
3.89	26	5.09902	0.00331513	1.6215e-017	1.61801e-208	0.00331513	1
3.91	28	5.2915	0.00403031	2.60868e-017	7.0494e-207	0.00403031	1
3.92	33	5.74456	0.00444062	3.30579e-017	4.62731e-206	0.00444062	1
3.94	27	5.19615	0.00538303	5.29894e-017	1.97181e-204	0.00538303	1
3.96	23	4.79583	0.0065129	8.47313e-017	8.27896e-203	0.0065129	1
3.97	29	5.38516	0.0071587	1.07047e-016	5.33485e-202	0.0071587	1
3.99	26	5.09902	0.0086363	1.70545e-016	2.19077e-200	0.0086363	1
4	34	5.83095	0.00947896	2.15067e-016	1.39613e-199	0.00947896	1
4.02	31	5.56776	0.0114025	3.41389e-016	5.60745e-198	0.0114025	1
4.04	20	4.47214	0.01369	5.40586e-016	2.21912e-196	0.01369	1
4.05	28	5.2915	0.0149896	6.79634e-016	1.38828e-195	0.0149896	1
4.07	34	5.83095	0.0179448	1.07226e-015	5.3735e-194	0.0179448	1
4.08	25	5	0.01962	1.3456e-015	3.32458e-193	0.01962	1
4.1	36	6	0.0234204	2.11521e-015	1.25858e-191	0.0234204	1
4.11	35	5.91608	0.0255698	2.64956e-015	7.70091e-191	0.0255698	1
4.13	27	5.19615	0.0304346	4.14975e-015	2.85133e-189	0.0304346	1
4.15	35	5.91608	0.0361553	6.48349e-015	1.04023e-187	0.0361553	1
4.16	31	5.56776	0.0393786	8.09664e-015	6.2483e-187	0.0393786	1
4.18	26	5.09902	0.0466456	1.26038e-014	2.2295e-185	0.0466456	1
4.19	25	5	0.0507308	1.5711e-014	1.32441e-184	0.0507308	1
4.21	30	5.47723	0.0599195	2.43676e-014	4.62202e-183	0.0599195	1
4.23	26	5.09902	0.0706362	3.77017e-014	1.58934e-181	0.0706362	1
4.24	30	5.47723	0.0766379	4.6853e-014	9.26831e-181	0.0766379	1
4.26	27	5.19615	0.0900843	7.22265e-014	3.11709e-179	0.0900843	1
4.27	29	5.38516	0.0975974	8.95939e-014	1.79769e-178	0.0975974	1
4.29	26	5.09902	0.11439	1.37609e-013	5.91328e-177	0.11439	1
4.3	21	4.58258	0.123752	1.70386e-013	3.37269e-176	0.123752	1
4.32	30	5.47723	0.144627	2.60744e-013	1.08506e-174	0.144627	1
4.34	35	5.91608	0.168698	3.98047e-013	3.43958e-173	0.168698	1
4.35	22	4.69042	0.182065	4.91357e-013	1.92585e-172	0.182065	1
4.37	35	5.91608	0.211754	7.47356e-013	5.97089e-171	0.211754	1
4.38	27	5.19615	0.228204	9.20864e-013	3.30627e-170	0.228204	1
4.4	32	5.65685	0.264652	1.39552e-012	1.00258e-168	0.264652	1
4.42	27	5.19615	0.306331	2.10968e-012	2.99554e-167	0.306331	1
4.43	33	5.74456	0.329333	2.59156e-012	1.62833e-166	0.329333	1
4.45	27	5.19615	0.3801	3.90348e-012	4.75843e-165	0.3801	1
4.46	18	4.24264	0.408052	4.78631e-012	2.55808e-164	0.408052	1
4.48	24	4.89898	0.469594	7.18295e-012	7.31135e-163	0.469594	1
4.49	20	4.47214	0.5034	8.79136e-012	3.88714e-162	0.5034	1
4.51	32	5.65685	0.577653	1.31452e-011	1.08662e-160	0.577653	1
4.53	24	4.89898	0.661583	1.96075e-011	2.99296e-159	0.661583	1
4.54	26	5.09902	0.707505	2.39249e-011	1.56208e-158	0.707505	1
4.56	28	5.2915	0.807966	3.55561e-011	4.20815e-157	0.807966	1
4.57	23	4.79583	0.862802	4.3306e-011	2.17208e-156	0.862802	1
4.59	27	5.19615	0.982472	6.41241e-011	5.72303e-155	0.982472	1
4.6	25	5	1.04764	7.7958e-011	2.92141e-154	1.04764	1
4.62	28	5.2915	1.1895	1.15012e-010	7.52848e-153	1.1895	1
4.64	24	4.89898	1.34798	1.69266e-010	1.9116e-151	1.34798	1
4.65	20	4.47214	1.43394	2.05156e-010	9.5793e-151	1.43394	1
4.67	12	3.4641	1.6203	3.00828e-010	2.37897e-149	1.6203	1
4.68	21	4.58258	1.72113	3.63947e-010	1.17898e-148	1.72113	1
4.7	21	4.58258	1.93921	5.31721e-010	2.86368e-147	1.93921	1
4.72	19	4.3589	2.18071	7.74942e-010	6.85359e-146	2.18071	1
4.73	23	4.79583	2.31085	9.34684e-010	3.33431e-145	2.31085	1
4.75	22	4.69042	2.59115	1.35725e-009	7.80484e-144	2.59115	1
4.76	17	4.12311	2.74182	1.63403e-009	3.75521e-143	2.74182	1
4.78	22	4.69042	3.06552	2.36411e-009	8.59716e-142	3.06552	1
4.79	28	5.2915	3.2391	2.84101e-009	4.09079e-141	3.2391	1
4.81	25	5	3.61107	4.09534e-009	9.15993e-140	3.61107	1
4.83	23	4.79583	4.01801	5.88907e-009	2.02094e-138	4.01801	1
4.84	25	5	4.23531	7.05551e-009	9.44006e-138	4.23531	1
4.86	31	5.56776	4.69901	1.01087e-008	2.03704e-136	4.69901	1
4.87	17	4.12311	4.94599	1.20888e-008	9.41029e-136	4.94599	1
4.89	19	4.3589	5.47168	1.72568e-008	1.98606e-134	5.47168	1
4.91	17	4.12311	6.0416	2.45741e-008	4.13006e-133	6.0416	1
4.92	20	4.47214	6.34386	2.92981e-008	1.87296e-132	6.34386	1
4.94	25	5	6.98442	4.15689e-008	3.80941e-131	6.98442	1
4.95	16	4	7.32327	4.94693e-008	1.70849e-130	7.32327	1
4.97	21	4.58258	8.03947	6.99318e-008	3.39864e-129	8.03947	1
4.98	17	4.12311	8.41735	8.30704e-008	1.50745e-128	8.41735	1
5	21	4.58258	9.2139	1.17003e-007	2.9329e-127	9.2139	1
5.02	26	5.09902	10.0664	1.64394e-007	5.6225e-126	10.0664	1
5.03	15	3.87298	10.5143	1.94685e-007	2.44814e-125	10.5143	1
5.05	23	4.79583	11.454	2.72542e-007	4.5902e-124	11.454	1
5.06	28	5.2915	11.9463	3.22171e-007	1.97661e-123	11.9463	1
5.08	30	5.47723	12.9764	4.49363e-007	3.62476e-122	12.9764	1
5.1	21	4.58258	14.0684	6.25242e-007	6.5496e-121	14.0684	1
5.11	25	5	14.6377	7.36845e-007	2.76868e-120	14.6377	1
5.13	33	5.74456	15.8237	1.0215e-006	4.89297e-119	15.8237	1
5.14	27	5.19615	16.4403	1.20163e-006	2.04556e-118	16.4403	1
5.16	24	4.89898	17.721	1.65975e-006	3.5357e-117	17.721	1
5.17	27	5.19615	18.3851	1.94886e-006	1.46183e-116	18.3851	1
5.19	29	5.38516	19.7602	2.68203e-006	2.47129e-115	19.7602	1
5.21	28	5.2915	21.1972	3.68202e-006	4.11649e-114	21.1972	1
5.22	22	4.69042	21.9387	4.31022e-006	1.67078e-113	21.9387	1
5.24	27	5.19615	23.4663	5.89566e-006	2.72198e-112	23.4663	1
5.25	22	4.69042	24.2521	6.88893e-006	1.09259e-111	24.2521	1
5.27	24	4.89898	25.866	9.38847e-006	1.74096e-110	25.866	1
5.29	30	5.47723	27.5343	1.27638e-005	2.73335e-109	27.5343	1
5.3	22	4.69042	28.3878	1.48687e-005	1.07706e-108	28.3878	1
5.32	21	4.58258	30.1316	2.01404e-005	1.6539e-107	30.1316	1
5.33	40	6.32456	31.0209	2.34189e-005	6.44516e-107	31.0209	1
5.35	27	5.19615	32.8315	3.16061e-005	9.67982e-106	32.8314	1
5.36	21	4.58258	33.7516	3.6684e-005	3.73057e-105	33.7516	1
5.38	27	5.19615	35.6186	4.93277e-005	5.47989e-104	35.6185	1
5.4	41	6.40312	37.5165	6.61678e-005	7.93131e-103	37.5164	1
5.41	25	5	38.4753	7.65644e-005	3.0007e-102	38.4752	1
5.43	29	5.38516	40.4086	0.000102327	4.24775e-101	40.4084	1
5.44	40	6.32456	41.3814	0.000118189	1.58935e-100	41.3813	1
5.46	38	6.16441	43.3354	0.000157382	2.20049e-099	43.3353	1
5.48	31	5.56776	45.2944	0.00020906	3.00189e-098	45.2942	1
5.49	46	6.78233	46.2734	0.000240731	1.10262e-097	46.2732	1
5.51	50	7.07107	48.2258	0.000318609	1.47118e-096	48.2255	1
5.52	39	6.245	49.1971	0.000366205	5.34411e-096	49.1967	1
5.54	38	6.16441	51.125	0.000482904	6.97396e-095	51.1245	1
5.55	51	7.14143	52.0794	0.000554029	2.50537e-094	52.0789	1
